序号,名称,描述,类型,长度
0,SlackSub,岛平衡机厂站,STRING,32
1,SlackGen,岛平衡机名称,STRING,64
2,GenPtr,发电机索引,INTEGER,2
3,UnitP,岛发电有功(MW),DOUBLE,4
4,UnitQ,岛发电无功(MVar),DOUBLE,4
5,LoadP,岛负荷有功(MW),DOUBLE,4
6,LoadQ,岛负荷无功(MVar),DOUBLE,4
7,ShuntQ,岛并联无功(MVar),DOUBLE,4
8,LossP,岛损耗有功(MVar),DOUBLE,4
9,LossQ,岛损耗无功(MVar),DOUBLE,4
10,UnitNum,岛内发电机数,INTEGER,2
11,LoadNum,岛内负荷,INTEGER,2
12,CapNum,岛内补偿数,INTEGER,2
13,BusNum,岛内母线数,INTEGER,2
14,LineNum,岛内线路数,INTEGER,2
15,TranNum,岛内主变数,INTEGER,2
16,Dead,死岛标志,INTEGER,1
17,PFConvergency,潮流收敛标志,INTEGER,1
