序号,名称,描述,类型,长度
0,ResourceID,资源ID,STRING,64
1,Name,地块名称,STRING,64
2,LocateX,中心点坐标X,DOUBLE,8
3,LocateY,中心点坐标Y,DOUBLE,8
4,LandArea,地块面积(平米),DOUBLE,8
5,BuildingArea,建筑面积(平米),DOUBLE,8
6,LandIndex,指标类型,STRING,32
7,LandType,地块类型,STRING,32
8,Samerate,同时率,DOUBLE,8
9,Density,负荷密度(瓦/平米),DOUBLE,8
10,Demand,需用系数,DOUBLE,8
11,Volume,容积率,DOUBLE,8
12,MetaType,图元类型,INTEGER,4
13,Layer,地块层号,STRING,32
14,Color,地块颜色,INTEGER,4
15,DensityLoad,负荷密度法(兆瓦),DOUBLE,8
16,DistribLoad,分布预测法(兆瓦),DOUBLE,8
17,InCalculate,参与预测,INTEGER,1
