序号,名称,描述,类型,长度
0,ResourceID,资源Id,STRING,64
1,ObjectID,ObjectId,STRING,64
2,Name,名称,STRING,64
3,Description,描述,STRING,64
4,VoltageLevel,电压等级,STRING,16
5,SubcontrolArea,所属分区,STRING,32
6,ei_Invest,投资费用(万元/千米),DOUBLE,4
7,LineLength,线路长度(千米),DOUBLE,4
8,LoadP,负荷总加有功(兆瓦),DOUBLE,4
9,LoadQ,负荷总加无功(兆乏),DOUBLE,4
10,LossP,损耗有功(兆瓦),DOUBLE,4
11,LossQ,损耗无功(兆乏),DOUBLE,4
12,ro_customernum,线路用户总数,DOUBLE,8
13,ro_aci,用户年停电次数(次/年),DOUBLE,8
14,ro_cid,用户年电时间(户.小时/年),DOUBLE,8
15,ro_saifi,线路年均停电次数(次/年),DOUBLE,8
16,ro_saidi,线路年停电时间(小时/年),DOUBLE,8
17,ro_asai,综合平均理论供电可用率,DOUBLE,8
18,ro_ens,线路年均停电电量(兆瓦时/年),DOUBLE,8
19,ro_aens,用户年均停电电量(兆瓦时/户.年),DOUBLE,8
20,ro_mic,线路停电平均用户数(户/次),DOUBLE,8
21,ro_mid,线路停电平均持续时间(小时/次),DOUBLE,8
22,ro_f_aci,用户年均故障停电次数(次/年),DOUBLE,8
23,ro_f_cid,用户年均故障停电时间(小时/年),DOUBLE,8
24,ro_f_saifi,线路年均故障停电次数(次/户.年),DOUBLE,8
25,ro_f_saidi,线路年故障停电时间(小时/户.年),DOUBLE,8
26,ro_f_asai,故障平均理论供电可用率,DOUBLE,8
27,ro_f_ens,线路年均故障停电电量(兆瓦时/年),DOUBLE,8
28,ro_f_aens,用户年均故障停电电量(兆瓦时/户.年),DOUBLE,8
29,ro_f_mic,线路故障停电平均用户数(户/次),DOUBLE,8
30,ro_f_mid,线路故障停电平均持续时间(小时/次),DOUBLE,8
31,ro_a_aci,用户年均预安排停电次数(次/年),DOUBLE,8
32,ro_a_cid,用户年均预安排停电时间(小时/年),DOUBLE,8
33,ro_a_saifi,线路年均预安排停电次数(次/户.年),DOUBLE,8
34,ro_a_saidi,线路年预安排停电时间(小时/户.年),DOUBLE,8
35,ro_a_asai,预安排平均理论供电可用率,DOUBLE,8
36,ro_a_ens,线路年均预安排停电电量(兆瓦时/年),DOUBLE,8
37,ro_a_aens,用户年均预安排停电电量(兆瓦时/户.年),DOUBLE,8
38,ro_a_mic,线路预安排停电平均用户数(户/次),DOUBLE,8
39,ro_a_mid,线路预安排停电平均持续时间(小时/次),DOUBLE,8
40,Open,拓扑状态,INTEGER,1
