序号,名称,描述,类型,长度
0,ResourceID,资源ID,STRING,64
1,Name,名称,STRING,64
2,Model,规格,STRING,64
3,Length,长度(千米),DOUBLE,4
4,ei_UnitInvest,单位投资费用(万元/千米),DOUBLE,4
5,BuildDate,建造日期(年月日),INTEGER,4
6,ReBuildDate,改造日期(年月日),INTEGER,4
7,OutageDate,停运日期(年月日),INTEGER,4
8,TimeSpan,运行时间,INTEGER,2
9,PlanCharacter,规划性质,INTEGER,1
10,ProjCharacter,工程性质,INTEGER,1
11,VoltageLevelH,高压电压等级,STRING,16
12,VoltageLevelM,中压电压等级,STRING,16
13,VoltageLevelL,低压电压等级,STRING,16
14,HV2MV,高压到中压换算,INTEGER,1
15,HV2LV,高压到低压换算,INTEGER,1
16,MV2LV,中压到低压换算,INTEGER,1
17,MaxHVCableNum,高压电缆容量,INTEGER,2
18,MaxMVCableNum,中压电缆容量,INTEGER,2
19,MaxLVCableNum,低压电缆容量,INTEGER,2
20,HVCable1,高压电缆1,STRING,64
21,HVCable2,高压电缆2,STRING,64
22,HVCable3,高压电缆3,STRING,64
23,HVCable4,高压电缆4,STRING,64
24,MVCable1,中压电缆1,STRING,64
25,MVCable2,中压电缆2,STRING,64
26,MVCable3,中压电缆3,STRING,64
27,MVCable4,中压电缆4,STRING,64
28,MVCable5,中压电缆5,STRING,64
29,MVCable6,中压电缆6,STRING,64
30,MVCable7,中压电缆7,STRING,64
31,MVCable8,中压电缆8,STRING,64
32,LVCable1,低压电缆1,STRING,64
33,LVCable2,低压电缆2,STRING,64
34,LVCable3,低压电缆3,STRING,64
35,LVCable4,低压电缆4,STRING,64
36,LVCable5,低压电缆5,STRING,64
37,LVCable6,低压电缆6,STRING,64
38,LVCable7,低压电缆7,STRING,64
39,LVCable8,低压电缆8,STRING,64
40,LVCable9,低压电缆9,STRING,64
41,LVCable10,低压电缆10,STRING,64
42,LVCable11,低压电缆11,STRING,64
43,LVCable12,低压电缆12,STRING,64
44,LVCable13,低压电缆13,STRING,64
45,LVCable14,低压电缆14,STRING,64
46,LVCable15,低压电缆15,STRING,64
47,LVCable16,低压电缆16,STRING,64
48,LVCable17,低压电缆17,STRING,64
49,LVCable18,低压电缆18,STRING,64
50,LVCable19,低压电缆19,STRING,64
51,LVCable20,低压电缆20,STRING,64
52,LVCable21,低压电缆21,STRING,64
53,LVCable22,低压电缆22,STRING,64
54,LVCable23,低压电缆23,STRING,64
55,LVCable24,低压电缆24,STRING,64
56,LVCable25,低压电缆25,STRING,64
57,LVCable26,低压电缆26,STRING,64
58,LVCable27,低压电缆27,STRING,64
59,LVCable28,低压电缆28,STRING,64
60,LVCable29,低压电缆29,STRING,64
61,LVCable30,低压电缆30,STRING,64
62,LVCable31,低压电缆31,STRING,64
63,LVCable32,低压电缆32,STRING,64
