序号,名称,描述,类型,长度
0,Name,母联断路器名称,STRING,256
1,TopoBus,拓扑母线,INTEGER,4
2,ILineMax,线路最大额定电流(A),DOUBLE,4
3,ITranMax,变压器最大额定电流(A),DOUBLE,4
4,LowVBreaker,低压断路器(以变压器卷为判断原则),INTEGER,1
5,IkMax,最大短路电流(A),DOUBLE,4
6,IkMin,最小短路电流(A),DOUBLE,4
7,Kkp1,整定:过流Ⅰ段配合系数,DOUBLE,4
8,Kklm1,整定:过流Ⅰ段灵敏系数,DOUBLE,4
9,Kkp2,整定:过流Ⅱ段配合系数,DOUBLE,4
10,Kkr,整定:合环保护可靠系数,DOUBLE,4
11,Ikdz1,过流Ⅰ段保护整定电流(A),DOUBLE,4
12,Ikdz2,过流Ⅱ段保护整定电流(A),DOUBLE,4
13,Irdz,合环保护整定电流(A),DOUBLE,4
14,Ksen1,校核:过流Ⅰ段灵敏系数,DOUBLE,4
15,Ksen2,校核:过流Ⅱ段灵敏系数,DOUBLE,4
16,BreakerPtr,设备索引,INTEGER,4
