序号,名称,描述,类型,长度
0,Name,发电机名称,STRING,256
1,TopoBus,拓扑母线,INTEGER,4
2,Rate,额定电流(A),DOUBLE,4
3,IkMax,最大短路电流(A),DOUBLE,4
4,IkminNear,设备近端故障最小短路电流(A),DOUBLE,4
5,IkminFar,设备远端故障最小短路电流(A),DOUBLE,4
6,Kdrel,整定:纵差保护可靠系数,DOUBLE,4
7,Kkrel,整定:过流保护可靠系数,DOUBLE,4
8,Kkres,整定:过流保护返回系数,DOUBLE,4
9,Kap,整定:非周期分量影响系数,DOUBLE,4
10,Kss,整定:电流互感器同型系数,DOUBLE,4
11,IunbMax,纵差最大不平衡电流(A),DOUBLE,4
12,Iddz,纵差保护整定电流(A),DOUBLE,4
13,Ikdz,过流保护整定电流(A),DOUBLE,4
14,KksenNear,校核:过流保护近后备灵敏系数,DOUBLE,4
15,KksenFar,校核:过流保护远后备灵敏系数,DOUBLE,4
16,GenPtr,发电机索引,INTEGER,2
