序号,名称,描述,类型,长度
0,Name,线路名称,STRING,64
1,SubI,厂站I,STRING,64
2,SubJ,厂站J,STRING,64
3,Volt,电压等级,STRING,16
4,NorminalVolt,额定电压,DOUBLE,4
5,Rate,额定电流(A),DOUBLE,4
6,TopoBusI,I侧拓扑母线,INTEGER,4
7,TopoBusJ,J侧拓扑母线,INTEGER,4
8,Powered,电源标记,INTEGER,1
9,SrcGenI,I侧电源索引,INTEGER,2
10,SrcGenJ,J侧电源索引,INTEGER,2
11,ZGround,连接变压器接地中性点标记,INTEGER,1
12,ZGTopoBusI,I侧零序接地拓扑母线,INTEGER,4
13,ZGTopoBusJ,J侧零序接地拓扑母线,INTEGER,4
14,IkmaxI,I侧线路末端短路最大短路电流(A),DOUBLE,4
15,I0maxI,I侧线路末端短路最大零序电流(A),DOUBLE,4
16,I0TranI,I侧线路末端变压器对侧短路最大零序电流(A),DOUBLE,4
17,IkminINear,I侧线路近端短路最小短路电流(A),DOUBLE,4
18,I0minINear,I侧线路近端短路最小零序电流(A),DOUBLE,4
19,IkminIFar,I侧线路远端短路最小短路电流(A),DOUBLE,4
20,I0minIFar,I侧线路远端短路最小零序电流(A),DOUBLE,4
21,IkmaxJ,J侧线路末端短路最大短路电流(A),DOUBLE,4
22,I0maxJ,J侧线路末端短路最大零序电流(A),DOUBLE,4
23,I0TranJ,J侧线路末端变压器对侧短路最大零序电流(A),DOUBLE,4
24,IkminJNear,J侧线路近端短路最小短路电流(A),DOUBLE,4
25,I0minJNear,J侧线路近端短路最小零序电流(A),DOUBLE,4
26,IkminJFar,J侧线路远端短路最小短路电流(A),DOUBLE,4
27,I0minJFar,J侧线路远端短路最小零序电流(A),DOUBLE,4
28,IkIntoTranI,I侧线路末端短路最大短路电流入变压器,INTEGER,1
29,IkIntoTranJ,J侧线路末端短路最大短路电流入变压器,INTEGER,1
30,N1IkminI,I侧一级相邻线路远端短路最小短路电流(A),DOUBLE,4
31,N1I0minI,I侧一级相邻线路远端短路最小零序电流(A),DOUBLE,4
32,N1IkminJ,J侧一级相邻线路远端短路最小短路电流(A),DOUBLE,4
33,N1I0minJ,J侧一级相邻线路远端短路最小零序电流(A),DOUBLE,4
34,N1IkminIBus,I侧一级相邻线路远端短路母线,STRING,64
35,N1I0minIBus,I侧一级相邻线路远端零序母线,STRING,64
36,N1IkminJBus,J侧一级相邻线路远端短路母线,STRING,64
37,N1I0minJBus,J侧一级相邻线路远端零序母线,STRING,64
38,Krel1,整定:瞬时电流速断可靠系数,DOUBLE,4
39,Krel2,整定:限时电流速断可靠系数,DOUBLE,4
40,Klm2,整定:限时电流速断灵敏系数,DOUBLE,4
41,KrelP3,整定:过电流可靠系数(保护配合),DOUBLE,4
42,KrelL3,整定:过电流可靠系数(最大负荷),DOUBLE,4
43,K0rel1,整定:零序Ⅰ段可靠系数,DOUBLE,4
44,K0rel2,整定:零序Ⅱ段可靠系数,DOUBLE,4
45,K0rel3,整定:零序Ⅲ段可靠系数,DOUBLE,4
46,K0rel4,整定:零序Ⅳ段可靠系数,DOUBLE,4
47,KZrel1,整定:相间距离Ⅰ段可靠系数,DOUBLE,4
48,KZTrel1,整定:相间距离Ⅰ段相邻变压器可靠系数,DOUBLE,4
49,KZp2,整定:相间距离Ⅱ段配合系数,DOUBLE,4
50,KZlm2,整定:相间距离Ⅱ段灵敏系数,DOUBLE,4
51,KZfh3,整定:相间距离Ⅲ段负荷可靠系数,DOUBLE,4
52,KZ0rel1,整定:接地距离Ⅰ段可靠系数,DOUBLE,4
53,KZT0rel1,整定:接地距离Ⅰ段相邻变压器可靠系数,DOUBLE,4
54,KZ0p2,整定:接地距离Ⅱ段配合系数,DOUBLE,4
55,KZ0lm2,整定:接地距离Ⅱ段灵敏系数,DOUBLE,4
56,KZ0p3,整定:接地距离Ⅲ段配合系数,DOUBLE,4
57,KZ0lm3,整定:接地距离Ⅲ段灵敏系数,DOUBLE,4
58,Ikdz2UsingKlm,限时电流速断按灵敏度整定,INTEGER,1
59,Ikdz3Coord3,过流保护与相邻线路配合,INTEGER,1
60,I0ProtIntoTran,零序Ⅰ段整定到变压器内,INTEGER,1
61,I0dz2Coord2,零序Ⅱ段与邻线Ⅱ段配合,INTEGER,1
62,I0dz3Coord3,零序Ⅲ段与邻线Ⅲ段配合,INTEGER,1
63,I0dz3Unb,终端线路零序Ⅲ段按变压器不平衡电流整定,INTEGER,1
64,ZProtIntoTran,相间距离Ⅰ段可整定到变压器内,INTEGER,1
65,Zdz2Coord2,相间距离Ⅱ段与邻线Ⅱ段配合,INTEGER,1
66,Zdz2UsingKlm,相间距离Ⅱ段按灵敏度整定(最高优先级),INTEGER,1
67,Zdz3Coord3,相间距离Ⅲ段与邻线Ⅲ段配合,INTEGER,1
68,Zdz3UsingKfh,相间距离Ⅲ段按负荷阻抗整定,INTEGER,1
69,Z0ProtIntoTran,接地距离Ⅰ段可整定到变压器内,INTEGER,1
70,Z0dz2Coord2,接地距离Ⅱ段与邻线Ⅱ段配合,INTEGER,1
71,Z0dz2UsingKlm,接地距离Ⅱ段按灵敏度整定(最高优先级),INTEGER,1
72,Z0dz3Coord3,接地距离Ⅲ段与邻线Ⅲ段配合,INTEGER,1
73,Z0dz3UsingKlm,接地距离Ⅲ段按灵敏度整定(最高优先级),INTEGER,1
74,Idz1I,I侧瞬时电流速断整定值,DOUBLE,4
75,Idz2I,I侧限时电流速断整定值,DOUBLE,4
76,Idz3I,I侧过电流整定值,DOUBLE,4
77,I0dz1I,I侧零序Ⅰ段定值,DOUBLE,4
78,I0dz2I,I侧零序Ⅱ段定值,DOUBLE,4
79,I0dz3I,I侧零序Ⅲ段定值,DOUBLE,4
80,I0dz1IntoTranI,I侧零序Ⅰ段保护整定入变压器,INTEGER,1
81,Zdz1I,I侧相间距离Ⅰ段整定值,DOUBLE,4
82,Zdz2I,I侧相间距离Ⅱ段整定值,DOUBLE,4
83,Zdz3I,I侧相间距离Ⅲ段整定值,DOUBLE,4
84,Z0dz1I,I侧接地距离Ⅰ段定值,DOUBLE,4
85,Z0dz2I,I侧接地距离Ⅱ段定值,DOUBLE,4
