序号,名称,描述,类型,长度
0,ProtKer,整定:互感器误差系数,DOUBLE,4
1,ProtLineKkrel1,整定:线路瞬时电流速断可靠系数,DOUBLE,4
2,ProtLineKkrel2,整定:线路限时电流速断可靠系数,DOUBLE,4
3,ProtLineKklm2,整定:线路限时电流速断灵敏系数,DOUBLE,4
4,ProtLineKkrelp3,整定:线路定时限过电流可靠系数(保护配合),DOUBLE,4
5,ProtLineKkrell3,整定:线路定时限过电流可靠系数(最大负荷),DOUBLE,4
6,ProtLineK0rel1,整定:线路零序Ⅰ段可靠系数,DOUBLE,4
7,ProtLineK0rel2,整定:线路零序Ⅱ段整定灵敏系数,DOUBLE,4
8,ProtLineK0rel3,整定:线路零序Ⅲ段可靠系数,DOUBLE,4
9,ProtLineK0rel4,整定:线路零序Ⅳ段可靠系数,DOUBLE,4
10,ProtLineKZrel1,整定:线路相间距离Ⅰ段可靠系数,DOUBLE,4
11,ProtLineKZTrel1,整定:线路相间距离Ⅰ段相邻变压器可靠系数,DOUBLE,4
12,ProtLineKZp2,整定:线路相间距离Ⅱ段配合系数,DOUBLE,4
13,ProtLineKZlm2,整定:线路相间距离Ⅱ段灵敏系数,DOUBLE,4
14,ProtLineKZfh3,整定:线路相间距离Ⅲ段负荷可靠系数,DOUBLE,4
15,ProtLineKZ0rel1,整定:线路接地距离Ⅰ段可靠系数,DOUBLE,4
16,ProtLineKZT0rel1,整定:线路接地距离Ⅰ段相邻变压器可靠系数,DOUBLE,4
17,ProtLineKZ0p2,整定:线路接地距离Ⅱ段配合系数,DOUBLE,4
18,ProtLineKZ0lm2,整定:线路接地距离Ⅱ段灵敏系数,DOUBLE,4
19,ProtLineKZ0p3,整定:线路接地距离Ⅲ段配合系数,DOUBLE,4
20,ProtLineKZ0lm3,整定:线路接地距离Ⅲ段灵敏系数,DOUBLE,4
21,ProtLineIkdz2UsingKlm,整定:线路限时电流速断按灵敏度整定,INTEGER,1
22,ProtLineIkdz3Coord3,整定:线路过流保护与相邻线路配合,INTEGER,1
23,ProtLineI0ProtIntoTran,整定:线路零序Ⅰ段整定到变压器内,INTEGER,1
24,ProtLineI0dz2Coord2,整定:线路零序Ⅱ段与邻线Ⅱ段配合,INTEGER,1
25,ProtLineI0dz3Coord3,整定:线路零序Ⅲ段与邻线Ⅲ段配合,INTEGER,1
26,ProtLineI0dz3Unb,整定:终端线路零序Ⅲ段按变压器不平衡电流,INTEGER,1
27,ProtLineZProtIntoTran,整定:线路相间距离Ⅰ段可整定到变压器内,INTEGER,1
28,ProtLineZdz2Coord2,整定:线路相间距离Ⅱ段与邻线Ⅱ段配合,INTEGER,1
29,ProtLineZdz2UsingKlm,整定:线路相间距离Ⅱ段按灵敏度整定,INTEGER,1
30,ProtLineZdz3Coord3,整定:线路相间距离Ⅲ段与邻线Ⅲ段配合,INTEGER,1
31,ProtLineZdz3UsingKfh,整定:线路相间距离Ⅲ段按负荷阻抗整定,INTEGER,1
32,ProtLineZ0ProtIntoTran,整定:线路接地距离Ⅰ段可整定到变压器内,INTEGER,1
33,ProtLineZ0dz2Coord2,整定:线路接地距离Ⅱ段与邻线Ⅱ段配合,INTEGER,1
34,ProtLineZ0dz2UsingKlm,整定:线路接地距离Ⅱ段按灵敏度整定,INTEGER,1
