序号,名称,描述,类型,长度
0,Name,变压器名称,STRING,64
1,Sub,厂站,STRING,64
2,VoltH,高压卷电压等级,STRING,16
3,VoltM,中压卷电压等级,STRING,16
4,VoltL,低压卷电压等级,STRING,16
5,ThreeWind,三卷变标记,INTEGER,1
6,TopoBusH,高压卷拓扑母线,INTEGER,4
7,TopoBusM,中压卷拓扑母线,INTEGER,4
8,TopoBusL,低压卷拓扑母线,INTEGER,4
9,RateVoltH,高压卷额定电压(kV),DOUBLE,4
10,RateVoltM,中压卷额定电压(kV),DOUBLE,4
11,RateVoltL,低压卷额定电压(kV),DOUBLE,4
12,RateH,高压卷额定电流(A),DOUBLE,4
13,RateM,中压卷额定电流(A),DOUBLE,4
14,RateL,低压卷额定电流(A),DOUBLE,4
15,LoadTran,负荷变压器,INTEGER,1
16,PowerH,高压侧电源标记,INTEGER,1
17,PowerM,中压侧电源标记,INTEGER,1
18,PowerL,低压侧电源标记,INTEGER,1
19,ZGStatH,高压侧零序标记,INTEGER,1
20,ZGStatM,中压侧零序标记,INTEGER,1
21,ZGStatL,低压侧零序标记,INTEGER,1
22,ItmaxH,高压侧变压器内部最大短路电流(A),DOUBLE,4
23,ItmaxM,中压侧变压器内部最大短路电流(A),DOUBLE,4
24,ItmaxL,低压侧变压器内部最大短路电流(A),DOUBLE,4
25,ItminH,高压侧变压器内部最小短路电流(A),DOUBLE,4
26,ItminM,中压侧变压器内部最小短路电流(A),DOUBLE,4
27,ItminL,低压侧变压器内部最小短路电流(A),DOUBLE,4
28,I0tmaxH,高压侧变压器内部最大零序电流(A),DOUBLE,4
29,I0tmaxM,中压侧变压器内部最大零序电流(A),DOUBLE,4
30,I0tmaxL,低压侧变压器内部最大零序电流(A),DOUBLE,4
31,I0tminH,高压侧变压器内部最小零序电流(A),DOUBLE,4
32,I0tminM,中压侧变压器内部最小零序电流(A),DOUBLE,4
33,I0tminL,低压侧变压器内部最小零序电流(A),DOUBLE,4
34,IobmaxH,高压侧对侧故障最大短路电流(A),DOUBLE,4
35,IobmaxM,中压侧对侧故障最大短路电流(A),DOUBLE,4
36,IobmaxL,低压侧对侧故障最大短路电流(A),DOUBLE,4
37,IobminH,高压侧对侧故障最小短路电流(A),DOUBLE,4
