序号,名称,描述,类型,长度
0,ResourceID,资源Id,STRING,64
1,Substation,厂站,STRING,64
2,Name,名称,STRING,64
3,Description,描述,STRING,64
4,VoltagelevelAC,交流电压等级,STRING,16
5,VoltagelevelDC,直流电压等级,STRING,16
6,ConnectivityNodeAC,节点1,STRING,64
7,ConnectivityNodeDCP,节点2,STRING,64
8,ConnectivityNodeDCN,节点3,STRING,64
9,Bridges,桥数,INTEGER,1
10,P,交流有功(兆瓦),DOUBLE,4
11,Q,交流无功(兆乏),DOUBLE,4
12,VoltACPTR,交流电压等级索引,INTEGER,2
13,VoltDCPTR,直流电压等级索引,INTEGER,2
14,NodeACPTR,交流节点索引,INTEGER,4
15,NodeDCPPTR,直流正极节点索引,INTEGER,4
16,NodeDCNPTR,直流负极节点索引,INTEGER,4
17,TopoBusAC,交流拓扑节点,INTEGER,4
18,TopoBusDCP,直流正极拓扑节点,INTEGER,4
19,TopoBusDCN,直流负极拓扑节点,INTEGER,4
20,Island,岛,INTEGER,2
21,Open,拓扑状态,INTEGER,1
22,Outage,设备状态,INTEGER,1
