序号,名称,描述,类型,长度
0,FaultType,故障类型,INTEGER,1
1,FaultLine,故障线路,STRING,256
2,MonLine,监视线路,STRING,256
3,MonBus,监视母线,STRING,256
4,DataType,数据类型,INTEGER,1
5,Value000,值000,DOUBLE,8
6,Value001,值001,DOUBLE,8
7,Value002,值002,DOUBLE,8
8,Value003,值003,DOUBLE,8
9,Value004,值004,DOUBLE,8
10,Value005,值005,DOUBLE,8
11,Value006,值006,DOUBLE,8
12,Value007,值007,DOUBLE,8
13,Value008,值008,DOUBLE,8
14,Value009,值009,DOUBLE,8
15,Value010,值010,DOUBLE,8
16,Value011,值011,DOUBLE,8
17,Value012,值012,DOUBLE,8
18,Value013,值013,DOUBLE,8
19,Value014,值014,DOUBLE,8
20,Value015,值015,DOUBLE,8
21,Value016,值016,DOUBLE,8
22,Value017,值017,DOUBLE,8
23,Value018,值018,DOUBLE,8
24,Value019,值019,DOUBLE,8
25,Value020,值020,DOUBLE,8
26,Value021,值021,DOUBLE,8
27,Value022,值022,DOUBLE,8
28,Value023,值023,DOUBLE,8
29,Value024,值024,DOUBLE,8
30,Value025,值025,DOUBLE,8
31,Value026,值026,DOUBLE,8
32,Value027,值027,DOUBLE,8
33,Value028,值028,DOUBLE,8
34,Value029,值029,DOUBLE,8
35,Value030,值030,DOUBLE,8
36,Value031,值031,DOUBLE,8
37,Value032,值032,DOUBLE,8
38,Value033,值033,DOUBLE,8
39,Value034,值034,DOUBLE,8
40,Value035,值035,DOUBLE,8
41,Value036,值036,DOUBLE,8
42,Value037,值037,DOUBLE,8
43,Value038,值038,DOUBLE,8
44,Value039,值039,DOUBLE,8
45,Value040,值040,DOUBLE,8
46,Value041,值041,DOUBLE,8
47,Value042,值042,DOUBLE,8
48,Value043,值043,DOUBLE,8
49,Value044,值044,DOUBLE,8
50,Value045,值045,DOUBLE,8
51,Value046,值046,DOUBLE,8
52,Value047,值047,DOUBLE,8
53,Value048,值048,DOUBLE,8
54,Value049,值049,DOUBLE,8
55,Value050,值050,DOUBLE,8
56,Value051,值051,DOUBLE,8
57,Value052,值052,DOUBLE,8
58,Value053,值053,DOUBLE,8
59,Value054,值054,DOUBLE,8
60,Value055,值055,DOUBLE,8
61,Value056,值056,DOUBLE,8
62,Value057,值057,DOUBLE,8
63,Value058,值058,DOUBLE,8
64,Value059,值059,DOUBLE,8
65,Value060,值060,DOUBLE,8
66,Value061,值061,DOUBLE,8
67,Value062,值062,DOUBLE,8
68,Value063,值063,DOUBLE,8
69,Value064,值064,DOUBLE,8
70,Value065,值065,DOUBLE,8
71,Value066,值066,DOUBLE,8
72,Value067,值067,DOUBLE,8
73,Value068,值068,DOUBLE,8
74,Value069,值069,DOUBLE,8
75,Value070,值070,DOUBLE,8
76,Value071,值071,DOUBLE,8
77,Value072,值072,DOUBLE,8
78,Value073,值073,DOUBLE,8
79,Value074,值074,DOUBLE,8
80,Value075,值075,DOUBLE,8
81,Value076,值076,DOUBLE,8
82,Value077,值077,DOUBLE,8
83,Value078,值078,DOUBLE,8
84,Value079,值079,DOUBLE,8
85,Value080,值080,DOUBLE,8
86,Value081,值081,DOUBLE,8
87,Value082,值082,DOUBLE,8
88,Value083,值083,DOUBLE,8
89,Value084,值084,DOUBLE,8
90,Value085,值085,DOUBLE,8
91,Value086,值086,DOUBLE,8
92,Value087,值087,DOUBLE,8
93,Value088,值088,DOUBLE,8
94,Value089,值089,DOUBLE,8
95,Value090,值090,DOUBLE,8
96,Value091,值091,DOUBLE,8
97,Value092,值092,DOUBLE,8
98,Value093,值093,DOUBLE,8
99,Value094,值094,DOUBLE,8
100,Value095,值095,DOUBLE,8
101,Value096,值096,DOUBLE,8
102,Value097,值097,DOUBLE,8
103,Value098,值098,DOUBLE,8
104,Value099,值099,DOUBLE,8
105,Value100,值100,DOUBLE,8
