序号,名称,描述,类型,长度
0,ResourceID,资源Id,STRING,64
1,Name,名称,STRING,32
2,Description,描述,STRING,64
3,RegionType,分区类型,INTEGER,1
4,TotalGenP,总发电有功(MW),DOUBLE,4
5,TotalGenQ,总发电无功(MVar),DOUBLE,4
6,TotalLoadP,总负荷有功(MW),DOUBLE,4
7,TotalLoadQ,总负荷无功(MVar),DOUBLE,4
8,TotalCap,总电容无功(MVar),DOUBLE,4
9,TotalReac,总电抗无功(MVar),DOUBLE,4
10,TotalLossP,总网损有功(MW),DOUBLE,4
11,TotalLossQ,总网损无功(MVar),DOUBLE,4
12,GenFatctor,发电功率因数,DOUBLE,4
13,LoadFatctor,负荷功率因数,DOUBLE,4
14,ro_customernum,分区用户总数,DOUBLE,8
15,ro_aci,用户年停电次数(次/年),DOUBLE,8
16,ro_cid,用户年停电时间(小时/年),DOUBLE,8
17,ro_saifi,分区年均停电次数(次/户.年),DOUBLE,8
18,ro_saidi,分区年均停电时间(小时/户.年),DOUBLE,8
19,ro_asai,综合平均理论供电可用率,DOUBLE,8
20,ro_ens,分区年均停电电量(MWh/年),DOUBLE,8
21,ro_aens,用户年均停电电量(MWh/户.年),DOUBLE,8
22,ro_mic,分区停电平均用户数(户/次),DOUBLE,8
23,ro_mid,分区停电平均持续时间(小时/次),DOUBLE,8
24,ro_f_aci,用户年故障停电次数(次/年),DOUBLE,8
25,ro_f_cid,用户年故障停电时间(小时/年),DOUBLE,8
26,ro_f_saifi,分区年均故障停电次数(次/户.年),DOUBLE,8
27,ro_f_saidi,分区年均故障停电时间(小时/户.年),DOUBLE,8
28,ro_f_asai,故障平均理论供电可用率,DOUBLE,8
29,ro_f_ens,分区年均故障停电电量(MWh/年),DOUBLE,8
30,ro_f_aens,用户年均故障停电电量(MWh/户.年),DOUBLE,8
31,ro_f_mic,分区故障停电平均用户数(户/次),DOUBLE,8
32,ro_f_mid,分区故障停电平均持续时间(小时/次),DOUBLE,8
33,ro_c_aci,用户年故障综合停电次数(次/年),DOUBLE,8
34,ro_c_cid,用户年故障综合停电时间(小时/年),DOUBLE,8
35,ro_c_saifi,分区年均故障综合停电次数(次/户.年),DOUBLE,8
36,ro_c_saidi,分区年均故障综合停电时间(小时/户.年),DOUBLE,8
37,ro_c_asai,故障综合平均理论供电可用率,DOUBLE,8
38,ro_c_ens,分区年均故障综合停电电量(MWh/年),DOUBLE,8
39,ro_c_aens,用户年均故障综合停电电量(MWh/户.年),DOUBLE,8
40,ro_c_mic,分区故障综合停电平均用户数(户/次),DOUBLE,8
41,ro_c_mid,分区故障综合停电平均持续时间(小时/次),DOUBLE,8
42,ro_a_aci,用户年预安排停电次数(次/年),DOUBLE,8
43,ro_a_cid,用户年预安排停电时间(小时/年),DOUBLE,8
44,ro_a_saifi,分区年均预安排停电次数(次/户.年),DOUBLE,8
45,ro_a_saidi,分区年均预安排停电时间(小时/户.年),DOUBLE,8
46,ro_a_asai,预安排平均理论供电可用率,DOUBLE,8
47,ro_a_ens,分区年均预安排停电电量(MWh/年),DOUBLE,8
48,ro_a_aens,用户年均预安排停电电量(MWh/户.年),DOUBLE,8
49,ro_a_mic,分区预安排停电平均用户数(户/次),DOUBLE,8
50,ro_a_mid,分区预安排停电平均持续时间(小时/次),DOUBLE,8
51,eo_rcoef,最小回报系数,DOUBLE,4
52,eo_losscost,线损成本(万元),DOUBLE,4
53,eo_relicost,可靠性成本(万元),DOUBLE,4
54,eo_fundcost,资金成本(万元),DOUBLE,4
55,eo_income,(投产还贷期)年最小收入(万元),DOUBLE,4
