序号,名称,描述,类型,长度
0,ResourceID,资源Id,STRING,64
1,ObjectID,ObjectId,STRING,64
2,Name,名称,STRING,64
3,Description,描述,STRING,64
4,Company,所属电力公司,STRING,32
5,SubcontrolArea,所属电力分区,STRING,32
6,st_type,厂站类型,INTEGER,1
7,Capacity,变电容量(MVA),DOUBLE,4
8,ei_Invest,投资总额(万元),DOUBLE,4
9,TotalGenP,总统计发电有功(MW),DOUBLE,4
10,TotalGenQ,总统计发电无功(MVar),DOUBLE,4
11,TotalLoadP,总统计负荷有功(MW),DOUBLE,4
12,TotalLoadQ,总统计负荷无功(MVar),DOUBLE,4
13,TotalCap,总统计电容无功(MVar),DOUBLE,4
14,TotalReac,总统计电抗无功(MVar),DOUBLE,4
15,RunningGenP,总运行发电有功(MW),DOUBLE,4
16,RunningGenQ,总运行发电无功(MVar),DOUBLE,4
17,RunningLoadP,总运行负荷有功(MW),DOUBLE,4
18,RunningLoadQ,总运行负荷无功(MVar),DOUBLE,4
19,RunningCap,总运行电容无功(MVar),DOUBLE,4
20,RunningReac,总运行电抗无功(MVar),DOUBLE,4
21,GenFatctor,发电功率因数,DOUBLE,4
22,LoadFatctor,负荷功率因数,DOUBLE,4
23,sa_Result,N-1通过情况,INTEGER,1
24,sa_Island,N-1形成孤岛,INTEGER,1
25,sa_Failure,N-1负荷损失(MVA),DOUBLE,4
26,sa_Outages,N-1设备负荷损失(MW),DOUBLE,4
27,VoltageLevelRange,电压等级记录范围,INTEGER,2
28,PowerTransformerRange,变压器记录范围,INTEGER,2
29,TransformerWindingRange,变压器绕组记录范围,INTEGER,2
30,RectifierInverterRange,整流逆变器记录范围,INTEGER,2
31,Distribution,配网厂站,INTEGER,1
32,ParentType,厂站归属设备类型,INTEGER,1
33,IsHub,枢纽站标记,INTEGER,1
34,NOptimize,不参与优化标记,INTEGER,1
35,Outage,辅助信息,INTEGER,1
