序号,名称,描述,类型,长度
0,ResourceID,资源ID,STRING,64
1,VoltageLevel,电压等级(电源站),STRING,16
2,Name,名称,STRING,64
3,HighVoltageLevel,最高电压等级,STRING,16
4,ConnectivityNode,节点(物理),STRING,64
5,SubstationType,厂站类型,INTEGER,1
6,Component,变电站容量构成,STRING,32
7,MvaCapacity,容量(MVA),DOUBLE,4
8,GenP,发电有功(MW),DOUBLE,4
9,GenQ,发电无功(MVar),DOUBLE,4
10,PlanVAmp,计划电压(PU),DOUBLE,4
11,LoadP,负荷(MW),DOUBLE,4
12,LoadFactor,负荷功率因数,DOUBLE,4
13,Shuntcap,无功补偿(MVar),DOUBLE,4
14,HeatingLoad,热负荷功率(MW),DOUBLE,4
15,RefrigerationLoad,冷负荷功率(MW),DOUBLE,4
16,AutoFormTran,自动生成变压器,INTEGER,1
17,EqX,等值正序电抗(PU)(电源站),DOUBLE,4
18,EqX0,等值零序电抗(PU)(电源站),DOUBLE,4
19,BPAGenBus,BPA模型发电机母线,STRING,16
20,BPAGenVolt,BPA模型发电机电压,DOUBLE,4
21,TotalBay,间隔总数(电源站),INTEGER,1
22,FreeBay,空闲间隔数(电源站),INTEGER,1
23,TotalOutline,出线间隔总数(电源站),INTEGER,1
24,InuseOutline,已出线间隔数(电源站),INTEGER,1
25,ri_Rerr,故障率(次/台.年),DOUBLE,4
26,ri_Trep,修复时间(小时/次),DOUBLE,4
27,ri_Rchk,计划检修率(次/台.年),DOUBLE,4
28,ri_Tchk,检修时间(小时/次),DOUBLE,4
29,ri_Tfloc,故障定位隔离时间(小时/次),DOUBLE,4
30,ri_Customer,用户数,DOUBLE,4
31,ri_Load_Rerr,配出负荷故障率(次/台.年),DOUBLE,4
32,ri_Load_Trep,配出负荷修复时间(小时/次),DOUBLE,4
33,ri_Load_Rchk,配出负荷计划检修率(次/台.年),DOUBLE,4
34,ri_Load_Tchk,配出负荷检修时间(小时/次),DOUBLE,4
35,IdealFaultIndicatorTime,理想通讯条件下故障定位决策时间,DOUBLE,4
36,ei_Invest,投资费用(万元/台),DOUBLE,4
37,ei_ConstLoss,每次固定停电损失(万元/次),DOUBLE,4
38,ei_EvalRatio,单位电能停电损失,DOUBLE,4
39,RW_Tuning1,转速保护整定1(PU),DOUBLE,4
40,RW_Tuning2,转速保护整定2(PU),DOUBLE,4
41,RW_Delay1,转速保护延时1(周),DOUBLE,4
42,RW_Delay2,转速保护延时2(周),DOUBLE,4
43,RW_Plate,转速保护压板,INTEGER,1
44,RE_Tuning1,电压保护整定1(PU),DOUBLE,4
45,RE_Tuning2,电压保护整定2(PU),DOUBLE,4
46,RE_Delay1,电压保护延时1(周),DOUBLE,4
47,RE_Delay2,电压保护延时2(周),DOUBLE,4
48,RE_Plate,电压保护压板,INTEGER,1
49,Island,电岛,INTEGER,2
50,P,下网有功(MW),DOUBLE,4
51,Q,下网无功(MVar),DOUBLE,4
52,V,电压(kV),DOUBLE,4
53,D,功角(度),DOUBLE,4
54,eo_loss,停电综合损失(万元),DOUBLE,4
55,scc,短路电流(A),DOUBLE,4
56,sa_Result,N-1通过情况,INTEGER,1
57,sa_Island,N-1形成孤岛,INTEGER,1
58,sa_Failure,N-1负荷损失(MVA),DOUBLE,4
59,sa_Outages,N-1设备负荷损失(MW),DOUBLE,4
