序号,名称,描述,类型,长度
0,ResourceID,资源Id,STRING,64
1,ObjectID,ObjectId,STRING,64
2,Substation,厂站,STRING,64
3,VoltageLevel,电压等级,STRING,16
4,Name,名称,STRING,64
5,Description,描述,STRING,64
6,Planp,计划有功(兆瓦),DOUBLE,4
7,Planq,计划无功(兆乏),DOUBLE,4
8,PV,PV值(标幺),DOUBLE,4
9,ConnectivityNode,节点,STRING,64
10,Type,发电机类型,INTEGER,1
11,PMax,最大有功(兆瓦),DOUBLE,4
12,PMin,最小有功(兆瓦),DOUBLE,4
13,QMax,最大无功(兆乏),DOUBLE,4
14,QMin,最小无功(兆乏),DOUBLE,4
15,Mvarate,视在功率(兆伏安),DOUBLE,4
16,AuxPca,厂用电恒功率比例(<1),DOUBLE,4
17,AuxPva,厂用电变功率比例(<1),DOUBLE,4
18,AuxFactor,厂用电功率因数,DOUBLE,4
19,X0,零序电抗(标幺),DOUBLE,4
20,Xdpp,直轴次暂态电抗(标幺),DOUBLE,4
21,BPAGenBus,BPA模型发电机母线,STRING,16
22,BPAGenVolt,BPA模型发电机电压,DOUBLE,4
23,ri_Rerr,故障率(次/年),DOUBLE,4
24,ri_Trep,修复时间(小时/次),DOUBLE,4
25,ri_Rchk,计划检修率(次/年),DOUBLE,4
26,ri_Tchk,检修时间(小时/次),DOUBLE,4
27,ri_Tfloc,故障定位隔离时间(小时),DOUBLE,4
28,ei_Invest,投资费用(万元),DOUBLE,4
29,RW_Tuning1,转速保护整定1(标幺),DOUBLE,4
30,RW_Tuning2,转速保护整定2(标幺),DOUBLE,4
31,RW_Delay1,转速保护延时1(周),DOUBLE,4
32,RW_Delay2,转速保护延时2(周),DOUBLE,4
33,RW_Plate,转速保护压板,INTEGER,1
34,RE_Tuning1,电压保护整定1(标幺),DOUBLE,4
35,RE_Tuning2,电压保护整定2(标幺),DOUBLE,4
36,RE_Delay1,电压保护延时1(周),DOUBLE,4
37,RE_Delay2,电压保护延时2(周),DOUBLE,4
38,RE_Plate,电压保护压板,INTEGER,1
39,MCRType,主接线可靠性设备类型,INTEGER,1
40,TDCurve,发电机典型发电曲线,STRING,32
41,P,有功(兆瓦),DOUBLE,4
42,Q,无功(兆乏),DOUBLE,4
43,A,电流(安培),DOUBLE,4
44,V,机端电压(千伏),DOUBLE,4
45,D,机端相角(度),DOUBLE,4
46,Factor,功率因数,DOUBLE,4
47,ScIa,A相短路电流(安培),DOUBLE,4
48,ScIb,B相短路电流(安培),DOUBLE,4
49,ScIc,C相短路电流(安培),DOUBLE,4
50,ScI1,正序短路电流(安培),DOUBLE,4
51,ScI2,负序短路电流(安培),DOUBLE,4
52,ScI0,零序短路电流(安培),DOUBLE,4
53,ScVa,A相短路电压(千伏),DOUBLE,4
54,ScVb,B相短路电压(千伏),DOUBLE,4
55,ScVc,C相短路电压(千伏),DOUBLE,4
56,ScV1,正序短路电压(千伏),DOUBLE,4
57,ScV2,负序短路电压(千伏),DOUBLE,4
58,ScV0,零序短路电压(千伏),DOUBLE,4
59,ro_rContribution,停运率贡献(%),DOUBLE,4
60,ro_uContribution,停运时间贡献(%),DOUBLE,4
61,ro_ensContribution,停电电量贡献(%),DOUBLE,4
62,NodePtr,节点索引,INTEGER,4
63,TopoBus,拓扑节点,INTEGER,4
64,Island,岛,INTEGER,2
65,Distribution,配网设备,INTEGER,1
66,State,综合状态(着色),INTEGER,1
67,Open,拓扑状态,INTEGER,1
68,Outage,设备状态,INTEGER,1
