序号,名称,描述,类型,长度
0,ResourceID,资源Id,STRING,64
1,Name,名称,STRING,64
2,Description,描述,STRING,64
3,stid,系统平衡机厂站,STRING,64
4,unid,系统平衡机发电机,STRING,64
5,BasePower,基准容量(MW),DOUBLE,4
6,RTDate,日期,INTEGER,4
7,RTTime,时间,INTEGER,4
8,Sc1Ratio,单永故障比例(<1),DOUBLE,4
9,Sc2Ratio,相间短路比例(<1),DOUBLE,4
10,Sc3Ratio,三相短路比例(<1),DOUBLE,4
11,Sc4Ratio,两相接地比例(<1),DOUBLE,4
12,ei_Invest,投资总额(万元),DOUBLE,4
13,ei_Sprice,电力公司售每度电的收益(元/千瓦时),DOUBLE,4
14,ei_Pprice,电力公司购网电价(元/千瓦时),DOUBLE,4
15,ei_Iyrate,名义年利率(<1),DOUBLE,4
16,ei_Icycle,计息周期(次/年),INTEGER,1
17,ei_Credtime,银行贷款时间(年),INTEGER,1
18,ei_Constime,工程建设期(年),INTEGER,1
19,ei_Deprectime,设备折旧期(年),INTEGER,1
20,ei_Residual,保留残值(<1),DOUBLE,4
21,ei_Taxrate,所得税税率(<1),DOUBLE,4
22,ei_Repairfee,固定资产年维修费(%),DOUBLE,4
23,ei_Insurfee,固定资产年保险费(%),DOUBLE,4
24,Ker,互感器误差系数(0.1),DOUBLE,4
25,G2EFactor,燃气转发电系数,DOUBLE,4
26,E2HFactor,电转热效率,DOUBLE,4
27,E2CFactor,电转冷效率,DOUBLE,4
28,EStorgeEfficiency,储能效率,DOUBLE,4
29,TotalGenP,总统计发电有功(MW),DOUBLE,4
30,TotalGenQ,总统计发电无功(MVar),DOUBLE,4
31,TotalLoadP,总统计负荷有功(MW),DOUBLE,4
32,TotalLoadQ,总统计负荷无功(MVar),DOUBLE,4
33,TotalCap,总统计电容无功(MVar),DOUBLE,4
34,TotalReac,总统计电抗无功(MVar),DOUBLE,4
35,RunningGenP,总运行发电有功(MW),DOUBLE,4
36,RunningGenQ,总运行发电无功(MVar),DOUBLE,4
37,RunningLoadP,总运行负荷有功(MW),DOUBLE,4
38,RunningLoadQ,总运行负荷无功(MVar),DOUBLE,4
