序号,名称,描述,类型,长度
0,Step,摄动阶数,INTEGER,2
1,ro_aci,用户年停电次数(次/年),DOUBLE,8
2,ro_cid,用户年停电时间(小时/年),DOUBLE,8
3,ro_saifi,系统年均停电次数(次/户.年),DOUBLE,8
4,ro_saidi,系统年均停电时间(小时/户.年),DOUBLE,8
5,ro_asai,综合平均理论供电可用率,DOUBLE,8
6,ro_ens,系统年均停电电量(MWh/年),DOUBLE,8
7,ro_aens,用户年均停电电量(MWh/户.年),DOUBLE,8
8,ro_mic,系统停电平均用户数(户/次),DOUBLE,8
9,ro_mid,系统停电平均持续时间(小时/次),DOUBLE,8
10,ro_f_aci,用户年故障停电次数(次/年),DOUBLE,8
11,ro_f_cid,用户年故障停电时间(小时/年),DOUBLE,8
12,ro_f_saifi,系统年均故障停电次数(次/户.年),DOUBLE,8
13,ro_f_saidi,系统年均故障停电时间(小时/户.年),DOUBLE,8
14,ro_f_asai,故障平均理论供电可用率,DOUBLE,8
15,ro_f_ens,系统年均故障停电电量(MWh/年),DOUBLE,8
16,ro_f_aens,用户年均故障停电电量(MWh/户.年),DOUBLE,8
17,ro_f_mic,系统故障停电平均用户数(户/次),DOUBLE,8
18,ro_f_mid,系统故障停电平均持续时间(小时/次),DOUBLE,8
19,ro_a_aci,用户年预安排停电次数(次/年),DOUBLE,8
20,ro_a_cid,用户年预安排停电时间(小时/年),DOUBLE,8
21,ro_a_saifi,系统年均预安排停电次数(次/户.年),DOUBLE,8
22,ro_a_saidi,系统年均预安排停电时间(小时/户.年),DOUBLE,8
23,ro_a_asai,预安排平均理论供电可用率,DOUBLE,8
24,ro_a_ens,系统年均预安排停电电量(MWh/年),DOUBLE,8
25,ro_a_aens,用户年均预安排停电电量(MWh/户.年),DOUBLE,8
26,ro_a_mic,系统预安排停电平均用户数(户/次),DOUBLE,8
27,ro_a_mid,系统预安排停电平均持续时间(小时/次),DOUBLE,8
