序号,名称,描述,类型,长度
0,Island,岛,INTEGER,2
1,GenP,有功发电(MW),DOUBLE,4
2,GenQ,无功发电(MVar),DOUBLE,4
3,LoadP,有功负荷(MW),DOUBLE,4
4,LoadQ,无功负荷(MVar),DOUBLE,4
5,ShuntQ,并联无功(MVar),DOUBLE,4
6,V,电压(kV),DOUBLE,8
7,D,功角(度),DOUBLE,8
8,ScR1,正序等值电阻(PU),DOUBLE,4
9,ScX1,正序等值电抗(PU),DOUBLE,4
10,ScR2,负序等值电阻(PU),DOUBLE,4
11,ScX2,负序等值电抗(PU),DOUBLE,4
12,ScR0,零序等值电阻(PU),DOUBLE,4
13,ScX0,零序等值电抗(PU),DOUBLE,4
14,ScI1Re,正序短路电流实部(PU),DOUBLE,4
15,ScI1Im,正序短路电流虚部(PU),DOUBLE,4
16,ScI2Re,负序短路电流实部(PU),DOUBLE,4
17,ScI2Im,负序短路电流虚部(PU),DOUBLE,4
18,ScI0Re,零序短路电流实部(PU),DOUBLE,4
19,ScI0Im,零序短路电流虚部(PU),DOUBLE,4
20,ScV1Re,正序短路电压实部(PU),DOUBLE,4
21,ScV1Im,正序短路电压虚部(PU),DOUBLE,4
22,ScV2Re,负序短路电压实部(PU),DOUBLE,4
23,ScV2Im,负序短路电压虚部(PU),DOUBLE,4
24,ScV0Re,零序短路电压实部(PU),DOUBLE,4
25,ScV0Im,零序短路电压虚部(PU),DOUBLE,4
26,VDipNum,因母线故障引起的电压暂降数,INTEGER,4
27,VoltPtr,电压等级索引,INTEGER,2
