序号,名称,描述,类型,长度
0,ResourceID,资源Id,STRING,64
1,ObjectID,ObjectId,STRING,64
2,Substation,厂站,STRING,64
3,Name,名称,STRING,64
4,Description,描述,STRING,64
5,iVoltageLevel,起电压等级,STRING,16
6,zVoltageLevel,终电压等级,STRING,16
7,PowerTransformer,所属变压器,STRING,64
8,iTapchanger,起变压器分接头类型,STRING,32
9,zTapchanger,终变压器分接头类型,STRING,32
10,ConnectivityNodeI,起节点,STRING,64
11,ConnectivityNodeJ,终节点,STRING,64
12,RatedMva,容量(MVA),DOUBLE,4
13,iRatedkV,起点铭牌电压(kV),DOUBLE,4
14,zRatedkV,终点铭牌电压(kV),DOUBLE,4
15,R,电阻(PU),DOUBLE,4
16,X,电抗(PU),DOUBLE,4
17,G,电导(PU),DOUBLE,4
18,B,电纳(PU),DOUBLE,4
19,R0,零序电阻(PU),DOUBLE,4
20,X0,零序电抗(PU),DOUBLE,4
21,iTap,起变压器档位,INTEGER,1
22,zTap,终变压器档位,INTEGER,1
23,TranStatus,变压器运行状态,INTEGER,1
24,NeutralStatus,中性点接地状态,INTEGER,1
25,WindingType,变压器绕组类型,INTEGER,1
26,WindingAVR,自动调压,INTEGER,1
27,CoupledTran,自耦变,INTEGER,1
28,ri_Rerr,故障率(次/年),DOUBLE,4
29,ri_Trep,修复时间(小时/次),DOUBLE,4
30,ri_Rchk,计划检修率(次/年),DOUBLE,4
31,ri_Tchk,检修时间(小时/次),DOUBLE,4
32,ri_Tfloc,故障定位隔离时间(小时),DOUBLE,4
33,ri_RSwitch,切换成功率(≦1),DOUBLE,4
34,ri_TSwitch,切换时间(小时/次),DOUBLE,4
35,ei_Invest,投资费用(万元),DOUBLE,4
36,vd_RScc1,单相接地频率(次/年),DOUBLE,4
37,vd_RScc2,相间短路频率(次/年),DOUBLE,4
38,vd_RScc3,三相短路频率(次/年),DOUBLE,4
39,vd_RScc4,两相接地频率(次/年),DOUBLE,4
40,RATunning,低压自动保护整定(PU),DOUBLE,4
41,RADelay,低压自动保护时限(周),DOUBLE,4
42,RAPlate,低压自动保护压板,INTEGER,1
43,RUTunning,低周自动保护整定(Hz),DOUBLE,4
44,RUDelay,低周自动保护时限(周),DOUBLE,4
45,RUPlate,低周自动保护压板,INTEGER,1
46,MCRType,主接线可靠性设备类型,INTEGER,1
47,MCRPower,主接线可靠性源/荷功率,DOUBLE,4
48,Pi,I侧有功(MW),DOUBLE,4
49,Qi,I侧无功(MVar),DOUBLE,4
50,Ai,I侧电流(A),DOUBLE,4
51,Pz,Z侧有功(MW),DOUBLE,4
52,Qz,Z侧无功(MVar),DOUBLE,4
53,Az,Z侧电流(A),DOUBLE,4
54,LossP,损耗有功(MW),DOUBLE,4
55,LossQ,损耗无功(MVar),DOUBLE,4
56,ScIaI,I侧A相短路电流(A),DOUBLE,4
57,ScIbI,I侧B相短路电流(A),DOUBLE,4
58,ScIcI,I侧C相短路电流(A),DOUBLE,4
59,ScI1I,I侧正序短路电流(A),DOUBLE,4
60,ScI2I,I侧负序短路电流(A),DOUBLE,4
61,ScI0I,I侧零序短路电流(A),DOUBLE,4
62,ScIaJ,J侧A相短路电流(A),DOUBLE,4
63,ScIbJ,J侧B相短路电流(A),DOUBLE,4
64,ScIcJ,J侧C相短路电流(A),DOUBLE,4
65,ScI1J,J侧正序短路电流(A),DOUBLE,4
66,ScI2J,J侧负序短路电流(A),DOUBLE,4
67,ScI0J,J侧零序短路电流(A),DOUBLE,4
68,ro_RContribution,停运率贡献(%),DOUBLE,4
69,ro_UContribution,停运时间贡献(%),DOUBLE,4
70,ro_EnsContribution,停电电量贡献(%),DOUBLE,4
71,sa_Result,N-1通过情况,INTEGER,1
72,sa_Island,N-1形成孤岛,INTEGER,1
73,sa_Failure,N-1负荷损失(MVA),DOUBLE,4
74,sa_ShiftNode,N-1转电节点,INTEGER,4
75,TranPtr,变压器索引,INTEGER,2
76,VoltIPtr,起电压等级索引,INTEGER,2
77,VoltJPtr,终电压等级索引,INTEGER,2
78,TapChangerIPtr,起变压器分接头索引,INTEGER,2
79,TapChangerJPtr,终变压器分接头索引,INTEGER,2
80,NodeIPtr,起节点索引,INTEGER,4
81,NodeJPtr,终节点索引,INTEGER,4
82,TopoBusI,起拓扑节点,INTEGER,4
83,TopoBusJ,终拓扑节点,INTEGER,4
84,Island,岛,INTEGER,2
85,EdgeI,起边变压器索引,INTEGER,2
86,EdgeJ,终边变压器索引,INTEGER,2
87,TranMidSide,变压器中性点位置,INTEGER,1
88,Distribution,配网设备,INTEGER,1
89,State,综合状态(着色),INTEGER,1
90,InRing,环网标记,INTEGER,1
91,Radiate,辐射网号,INTEGER,2
92,Open,拓扑状态,INTEGER,1
93,Direction,供电方向,INTEGER,1
94,Outage,设备状态,INTEGER,1
