序号,名称,描述,类型,长度
0,ResourceID,资源Id,STRING,64
1,Name,名称,STRING,64
2,Description,描述,STRING,64
3,iSubstation,起厂站,STRING,64
4,zSubstation,终厂站,STRING,64
5,VoltageLevel,电压等级,STRING,16
6,ConnectMode,接线模式,INTEGER,1
7,Line,所属线路(馈线),STRING,64
8,LineType,架空/电缆,INTEGER,1
9,LineModel,线路型号,STRING,32
10,AutoLength,自动计算长度,INTEGER,1
11,Length,线路长度(KM),DOUBLE,4
12,TowerNum,杆塔/电缆头总数,INTEGER,2
13,iStatus,起状态,INTEGER,1
14,zStatus,终状态,INTEGER,1
15,LoadSide,负荷所接线路侧,INTEGER,1
16,LineLoadP,线路负荷功率(MW),DOUBLE,4
17,LineLoadFactor,线路负荷功率因数,DOUBLE,4
18,LineCap,线上无功补偿容量(MVar),DOUBLE,4
19,SeriesCap,线上串联补偿(PU),DOUBLE,4
20,HeatingLoad,线路热负荷功率(MW),DOUBLE,4
21,RefrigerationLoad,线路冷负荷功率(MW),DOUBLE,4
22,RateCur,电流限值(A),DOUBLE,4
23,RateMva,功率限值(MW),DOUBLE,4
24,UnitR,单位电阻(欧姆),DOUBLE,4
25,UnitX,单位电抗(欧姆),DOUBLE,4
26,UnitG,单位电导(西门子),DOUBLE,4
27,UnitB,单位电纳(西门子),DOUBLE,4
28,R,电阻(PU),DOUBLE,4
29,X,电抗(PU),DOUBLE,4
30,G,电导(PU),DOUBLE,4
31,B,电纳(PU),DOUBLE,4
32,R0,零序电阻(PU),DOUBLE,4
33,X0,零序电抗(PU),DOUBLE,4
34,B0,零序电纳(PU),DOUBLE,4
35,ri_UnitRerr,单位故障率(次/km.年),DOUBLE,4
36,ri_UnitTrep,单位修复时间(小时/次),DOUBLE,4
37,ri_UnitRchk,单位计划检修率(次/km.年),DOUBLE,4
38,ri_UnitTchk,单位检修时间(小时/次),DOUBLE,4
39,ei_UnitInvest,单位投资费用(万元/km),DOUBLE,4
40,ri_Rerr,故障率(次/年),DOUBLE,4
41,ri_Trep,修复时间(时间/次),DOUBLE,4
42,ri_Rchk,计划检修率(次/年),DOUBLE,4
43,ri_Tchk,检修时间(时间/次),DOUBLE,4
44,ri_Tfloc,故障定位隔离时间(时间/km),DOUBLE,4
45,ri_RSwitch,等效操作成功率,DOUBLE,4
46,ri_TSwitch,等效操作时间(时间/次),DOUBLE,4
47,ri_TDelay,等效延时时间,DOUBLE,4
48,ri_Customer,用户数,DOUBLE,4
49,ri_Load_Rerr,配出负荷故障率(次/年),DOUBLE,4
50,ri_Load_Trep,配出负荷修复时间(小时/次),DOUBLE,4
51,ri_Load_Rchk,配出负荷计划检修率(次/年),DOUBLE,4
52,ri_Load_Tchk,配出负荷检修时间(小时/次),DOUBLE,4
53,ei_Invest,投资费用(万元),DOUBLE,4
54,ei_ConstLoss,每次固定停电损失(万元/次),DOUBLE,4
55,ei_EvalRatio,单位电能停电损失,DOUBLE,4
56,vd_RScc1,单相接地频率(次/年),DOUBLE,4
57,vd_RScc2,相间短路频率(次/年),DOUBLE,4
58,vd_RScc3,三相短路频率(次/年),DOUBLE,4
59,vd_RScc4,两相接地频率(次/年),DOUBLE,4
60,RATunning,低压自动保护整定(PU),DOUBLE,4
61,RADelay,低压自动保护时限(周),DOUBLE,4
62,RAPlate,低压自动保护压板,INTEGER,1
63,RUTunning,低周自动保护整定(Hz),DOUBLE,4
64,RUDelay,低周自动保护时限(周),DOUBLE,4
65,RUPlate,低周自动保护压板,INTEGER,1
66,ConnectivityNodeI,起节点,STRING,64
67,ConnectivityNodeJ,终节点,STRING,64
68,Pi,起点有功(MW),DOUBLE,4
69,Qi,起点无功(MVar),DOUBLE,4
70,Ai,起点电流(安培),DOUBLE,4
71,Pz,终点有功(MW),DOUBLE,4
72,Qz,终点无功(MVar),DOUBLE,4
73,Az,终点电流(安培),DOUBLE,4
74,LossP,损耗有功(MW),DOUBLE,4
75,LossQ,损耗无功(MVar),DOUBLE,4
76,ro_Ens,年均停电电量(MWh/年),DOUBLE,4
77,eo_Loss,停电综合损失(万元),DOUBLE,4
78,sa_ResultI,I侧N-1通过情况,INTEGER,1
79,sa_IslandI,I侧N-1形成孤岛,INTEGER,1
80,sa_FailureI,I侧N-1负荷损失(MVA),DOUBLE,4
81,sa_ShiftNodeI,I侧N-1转电节点,INTEGER,4
82,sa_ResultZ,Z侧N-1通过情况,INTEGER,1
83,sa_IslandZ,Z侧N-1形成孤岛,INTEGER,1
84,sa_FailureZ,Z侧N-1负荷损失(MVA),DOUBLE,4
85,sa_ShiftNodeZ,Z侧N-1转电节点,INTEGER,4
86,NodeIPtr,起节点索引,INTEGER,4
87,NodeJPtr,终节点索引,INTEGER,4
88,Direction,供电方向,INTEGER,1
89,Open,拓扑状态,INTEGER,1
