序号,名称,描述,类型,长度
0,ResourceID,资源Id,STRING,64
1,Substation,所属厂站,STRING,64
2,Name,名称,STRING,16
3,Description,描述,STRING,64
4,nominalVoltage,平均电压(千伏),DOUBLE,4
5,highVoltageLimit,高压限值(千伏),DOUBLE,4
6,lowVoltageLimit,低压限值(千伏),DOUBLE,4
7,SubstationPtr,厂站的索引,INTEGER,2
8,BusbarSectionRange,母线范围,INTEGER,2
9,SynchronousMachineRange,发电机范围,INTEGER,2
10,EnergyConsumerRange,负荷范围,INTEGER,2
11,ShuntCompensatorRange,并联补偿范围,INTEGER,2
12,SeriesCompensatorRange,串联补偿范围,INTEGER,2
13,BreakerRange,断路器范围,INTEGER,4
14,DisconnectorRange,隔离开关范围,INTEGER,4
15,GroundDisconnectorRange,接地刀闸范围,INTEGER,4
16,GroundTransformerRange,接地变范围,INTEGER,2
17,DCBusbarSectionRange,直流母线范围,INTEGER,2
18,DCBreakerRange,直流断路器范围,INTEGER,2
19,DCShortCircuitLimitRange,直流短路电流限制器范围,INTEGER,2
20,ConnectivityNodeRange,节点的范围,INTEGER,4
21,DCVoltageLevel,直流电压等级,INTEGER,1
22,Outage,辅助信息,INTEGER,1
