序号,名称,描述,类型,长度
0,Name,名称,STRING,32
1,kV,计算平均电压(kV),DOUBLE,4
2,Zone,分区,STRING,8
3,GenP,母线发电有功(MW),DOUBLE,8
4,GenQ,母线发电无功(MVar),DOUBLE,8
5,LoadP,母线负荷有功(MW),DOUBLE,8
6,LoadQ,母线负荷无功(MVar),DOUBLE,8
7,RadP,辐射网等效负荷(MW),DOUBLE,8
8,ShuntQ,母线补偿无功(MVar),DOUBLE,8
9,Rerr,故障率(次/年),DOUBLE,8
10,Rrep,修复率(次/年),DOUBLE,8
11,Trep,修复时间(小时/次),DOUBLE,8
12,AdGenP,发电机调节量(MW),DOUBLE,8
13,AdLoadP,负荷调节量(MW),DOUBLE,8
14,AdRadP,辐射网等效负荷调节量(MW),DOUBLE,8
15,GoodProb,完好概率,DOUBLE,8
16,FailProb,故障概率,DOUBLE,8
17,IRt,实际值,DOUBLE,8
18,IMax,下限值,DOUBLE,8
19,IMin,上限值,DOUBLE,8
20,RerrMax,故障率上限值,DOUBLE,8
21,RerrMin,故障率下限值,DOUBLE,8
22,RtV,电压计算结果(kV),DOUBLE,8
23,PfD,功角计算结果(Deg),DOUBLE,8
24,PLC,切负荷概率,DOUBLE,8
25,EFLC,切负荷频率(次/年),DOUBLE,8
26,EDLC,切负荷持续时间(小时/年),DOUBLE,8
27,ADLC,每次切负荷持续时间(小时/次),DOUBLE,8
28,ELC,负荷切除期望值(MW/年),DOUBLE,8
29,EENS,电量不足期望值(MWh/年),DOUBLE,8
30,BPECI,系统削减电量指标(MWh/MW.年),DOUBLE,8
31,BPII,系统停电指标(MW/MW.年),DOUBLE,8
32,SI,严重程度指标(系统分/年),DOUBLE,8
33,ACIsland,交流电岛,INTEGER,2
34,UVOLmtFreq,电压越上限次数(次),INTEGER,4
35,UFOLmtFreq,频率越上限次数(次),INTEGER,4
36,DVOLmtFreq,电压越下限次数(次),INTEGER,4
37,DFOLmtFreq,频率越下限次数(次),INTEGER,4
38,Radial,环辐网编号,INTEGER,2
39,Slack,平衡母线标记,INTEGER,1
40,SrcBus,电源母线标记,INTEGER,1
41,MidBus,中性点标记,INTEGER,1
42,GenPMax,母线所接发电机容量上限(MW),DOUBLE,8
43,GenPMin,母线所接发电机容量下限(MW),DOUBLE,8
44,LoadPMin,母线所接负荷功率下限(MW),DOUBLE,8
45,Bus2Line,母线线路指针,INTEGER,4
46,Bus2Tran,母线变压器指针,INTEGER,4
47,ZoneIndex,母线分区索引,INTEGER,1
48,RingBound,环网内环辐边界母线标记,INTEGER,1
49,LoadMState,母线负荷多状态,INTEGER,1
50,DCBus,直流母线标记,INTEGER,1
51,RParamType,可靠性参数类型,INTEGER,1
