序号,名称,描述,类型,长度
0,Name,名称,STRING,32
1,BusI,起节点名称,STRING,32
2,BusJ,终节点名称,STRING,32
3,kVI,I侧电压(kV),DOUBLE,4
4,kVJ,J侧电压(kV),DOUBLE,4
5,ParlId,并联回路号,INTEGER,1
6,R,电阻(pu),DOUBLE,4
7,X,电抗(pu),DOUBLE,4
8,B,电纳(pu),DOUBLE,4
9,Rated,额定容量(MW),DOUBLE,4
10,Length,长度(KM),DOUBLE,4
11,Weights,越限指标权重,DOUBLE,4
12,Rerr,故障率(次/年),DOUBLE,8
13,Rrep,修复率(次/年),DOUBLE,8
14,Trep,修复时间(小时/次),DOUBLE,8
15,GoodProb,完好概率,DOUBLE,8
16,FailProb,故障概率,DOUBLE,8
17,IRt,实际值,DOUBLE,8
18,IMax,下限值,DOUBLE,8
19,IMin,上限值,DOUBLE,8
20,RerrMax,故障率上限值,DOUBLE,8
21,RerrMin,故障率下限值,DOUBLE,8
22,FaultFreq,故障次数(次),INTEGER,4
23,OLmtFreq,越限次数,INTEGER,4
24,OLmtValue,越限功率(MW/次),DOUBLE,8
25,ELmtCutLoad,消限切负荷电量(MW.h/年),DOUBLE,8
26,RtPi,RT起点有功(MW),DOUBLE,4
27,RtQi,RT起点无功(MVar),DOUBLE,4
28,RtPz,RT终点有功(MW),DOUBLE,4
29,RtQz,RT终点无功(MVar),DOUBLE,4
30,LossP,损耗(MW),DOUBLE,4
31,PfPi,PF起点有功(MW),DOUBLE,4
32,PfQi,PF起点无功(MVar),DOUBLE,4
33,PfPz,PF终点有功(MW),DOUBLE,4
34,PfQz,PF终点无功(MVar),DOUBLE,4
35,TrPi,TR起点有功(MW),DOUBLE,4
36,TrQi,TR起点无功(MVar),DOUBLE,4
37,TrPz,TR终点有功(MW),DOUBLE,4
38,TrQz,TR终点无功(MVar),DOUBLE,4
39,IniBusI,Ini起节点名称,STRING,32
40,IniBusJ,Ini终节点名称,STRING,32
41,InikVI,Ini起点侧电压(kV),DOUBLE,4
42,InikVJ,Ini终点侧电压(kV),DOUBLE,4
43,IniLoop,Ini并联回路号,INTEGER,1
44,BusIPtr,起节点索引,INTEGER,4
45,BusJPtr,终节点索引,INTEGER,4
46,RadIPtr,起节点辐网编号,INTEGER,2
47,RadJPtr,终节点辐网编号,INTEGER,2
48,SerialNo,线路索引,INTEGER,4
49,ACIsland,交流电岛,INTEGER,2
50,Outage,停运,INTEGER,1
51,RParamType,可靠性参数类型,INTEGER,1
52,TrMIsland,N-1多岛,INTEGER,1
53,TrFactorNum,一阶相关开断分布因子个数,INTEGER,4
54,TCSCPtr,TCSC索引,INTEGER,2
55,UPFCPtr,UPFC索引,INTEGER,2
