序号,名称,描述,类型,长度
0,Type,设备类型,INTEGER,2
1,Name,设备名称,STRING,32
2,StateNum,状态数,INTEGER,1
3,State1Rate,状态1出力(比率),DOUBLE,8
4,State2Rate,状态2出力(比率),DOUBLE,8
5,State3Rate,状态3出力(比率),DOUBLE,8
6,State4Rate,状态4出力(比率),DOUBLE,8
7,State5Rate,状态5出力(比率),DOUBLE,8
8,State6Rate,状态6出力(比率),DOUBLE,8
9,State7Rate,状态7出力(比率),DOUBLE,8
10,State8Rate,状态8出力(比率),DOUBLE,8
11,State1Prob,状态1概率,DOUBLE,8
12,State2Prob,状态2概率,DOUBLE,8
13,State3Prob,状态3概率,DOUBLE,8
14,State4Prob,状态4概率,DOUBLE,8
15,State5Prob,状态5概率,DOUBLE,8
16,State6Prob,状态6概率,DOUBLE,8
17,State7Prob,状态7概率,DOUBLE,8
18,State8Prob,状态8概率,DOUBLE,8
19,State1Freq1,状态1-1转移率(次/年),DOUBLE,8
20,State1Freq2,状态1-2转移率(次/年),DOUBLE,8
21,State1Freq3,状态1-3转移率(次/年),DOUBLE,8
22,State1Freq4,状态1-4转移率(次/年),DOUBLE,8
23,State1Freq5,状态1-5转移率(次/年),DOUBLE,8
24,State1Freq6,状态1-6转移率(次/年),DOUBLE,8
25,State1Freq7,状态1-7转移率(次/年),DOUBLE,8
26,State1Freq8,状态1-8转移率(次/年),DOUBLE,8
27,State2Freq1,状态2-1转移率(次/年),DOUBLE,8
28,State2Freq2,状态2-2转移率(次/年),DOUBLE,8
29,State2Freq3,状态2-3转移率(次/年),DOUBLE,8
30,State2Freq4,状态2-4转移率(次/年),DOUBLE,8
31,State2Freq5,状态2-5转移率(次/年),DOUBLE,8
32,State2Freq6,状态2-6转移率(次/年),DOUBLE,8
33,State2Freq7,状态2-7转移率(次/年),DOUBLE,8
34,State2Freq8,状态2-8转移率(次/年),DOUBLE,8
35,State3Freq1,状态3-1转移率(次/年),DOUBLE,8
36,State3Freq2,状态3-2转移率(次/年),DOUBLE,8
37,State3Freq3,状态3-3转移率(次/年),DOUBLE,8
38,State3Freq4,状态3-4转移率(次/年),DOUBLE,8
39,State3Freq5,状态3-5转移率(次/年),DOUBLE,8
40,State3Freq6,状态3-6转移率(次/年),DOUBLE,8
41,State3Freq7,状态3-7转移率(次/年),DOUBLE,8
42,State3Freq8,状态3-8转移率(次/年),DOUBLE,8
43,State4Freq1,状态4-1转移率(次/年),DOUBLE,8
44,State4Freq2,状态4-2转移率(次/年),DOUBLE,8
45,State4Freq3,状态4-3转移率(次/年),DOUBLE,8
46,State4Freq4,状态4-4转移率(次/年),DOUBLE,8
47,State4Freq5,状态4-5转移率(次/年),DOUBLE,8
48,State4Freq6,状态4-6转移率(次/年),DOUBLE,8
49,State4Freq7,状态4-7转移率(次/年),DOUBLE,8
50,State4Freq8,状态4-8转移率(次/年),DOUBLE,8
51,State5Freq1,状态5-1转移率(次/年),DOUBLE,8
52,State5Freq2,状态5-2转移率(次/年),DOUBLE,8
53,State5Freq3,状态5-3转移率(次/年),DOUBLE,8
54,State5Freq4,状态5-4转移率(次/年),DOUBLE,8
55,State5Freq5,状态5-5转移率(次/年),DOUBLE,8
56,State5Freq6,状态5-6转移率(次/年),DOUBLE,8
57,State5Freq7,状态5-7转移率(次/年),DOUBLE,8
58,State5Freq8,状态5-8转移率(次/年),DOUBLE,8
59,State6Freq1,状态6-1转移率(次/年),DOUBLE,8
60,State6Freq2,状态6-2转移率(次/年),DOUBLE,8
61,State6Freq3,状态6-3转移率(次/年),DOUBLE,8
62,State6Freq4,状态6-4转移率(次/年),DOUBLE,8
63,State6Freq5,状态6-5转移率(次/年),DOUBLE,8
64,State6Freq6,状态6-6转移率(次/年),DOUBLE,8
65,State6Freq7,状态6-7转移率(次/年),DOUBLE,8
66,State6Freq8,状态6-8转移率(次/年),DOUBLE,8
67,State7Freq1,状态7-1转移率(次/年),DOUBLE,8
68,State7Freq2,状态7-2转移率(次/年),DOUBLE,8
69,State7Freq3,状态7-3转移率(次/年),DOUBLE,8
70,State7Freq4,状态7-4转移率(次/年),DOUBLE,8
71,State7Freq5,状态7-5转移率(次/年),DOUBLE,8
72,State7Freq6,状态7-6转移率(次/年),DOUBLE,8
73,State7Freq7,状态7-7转移率(次/年),DOUBLE,8
74,State7Freq8,状态7-8转移率(次/年),DOUBLE,8
75,State8Freq1,状态8-1转移率(次/年),DOUBLE,8
76,State8Freq2,状态8-2转移率(次/年),DOUBLE,8
77,State8Freq3,状态8-3转移率(次/年),DOUBLE,8
78,State8Freq4,状态8-4转移率(次/年),DOUBLE,8
79,State8Freq5,状态8-5转移率(次/年),DOUBLE,8
80,State8Freq6,状态8-6转移率(次/年),DOUBLE,8
81,State8Freq7,状态8-7转移率(次/年),DOUBLE,8
82,State8Freq8,状态8-8转移率(次/年),DOUBLE,8
83,SerialNo,设备索引,INTEGER,2
