序号,名称,描述,类型,长度
0,FStateID,状态ID,INTEGER,4
1,SampleType,抽样算法,INTEGER,1
2,FDevNum,故障设备数,INTEGER,1
3,Probability,状态概率,DOUBLE,8
4,Durition,持续时间,DOUBLE,8
5,StateNum,状态出现次数,INTEGER,4
6,FLossGen,故障损失发电机出力(兆瓦),DOUBLE,4
7,FLossGenCap,故障损失发电机容量(兆瓦),DOUBLE,4
8,FLossLoad,故障损失负荷功率(兆瓦),DOUBLE,4
9,MIsland,形成多岛,INTEGER,1
10,MIslandInsGen,孤岛增加出力(兆瓦),DOUBLE,4
11,MIslandCutGen,孤岛减少出力(兆瓦),DOUBLE,4
12,MIslandOutLoad,孤岛损失负荷(兆瓦),DOUBLE,4
13,BalanceInsGen,功率平衡发电机增出力(兆瓦),DOUBLE,4
14,BalanceCutGen,功率平衡发电机减出力(兆瓦),DOUBLE,4
15,BalanceCutLoad,功率平衡损失负荷(兆瓦),DOUBLE,4
16,OverLimit,设备越限,INTEGER,1
17,ELimit,消限切负荷,INTEGER,1
18,ELimitCutGen,消限减少出力(兆瓦),DOUBLE,4
19,ELimitInsGen,消限增加出力(兆瓦),DOUBLE,4
20,ELimitCutLoad,消限损失负荷(兆瓦),DOUBLE,4
21,ELimitResult,充裕度评估消限结果,INTEGER,1
22,MaxFaultZone,最大负荷损失分区索引,INTEGER,1
23,MaxFaultRatio,最大负荷损失分区占比,DOUBLE,4
24,FaultGrade,事故等级,INTEGER,1
25,MSoutIndex,多状态模型功率状态索引,INTEGER,2
26,Estimated,评估状态,INTEGER,1
27,ElapseTime,评估时间,DOUBLE,4
