序号,名称,描述,类型,长度
0,Name,名称,STRING,32
1,BusName,母线,STRING,32
2,BuskV,电压(kV),DOUBLE,4
3,GenId,编号,INTEGER,1
4,Zone,分区,STRING,8
5,P,有功(MW),DOUBLE,4
6,Q,无功(MVar),DOUBLE,4
7,PMax,最大有功(MW),DOUBLE,4
8,PMin,最小有功(MW),DOUBLE,4
9,QMax,最大无功(MVar),DOUBLE,4
10,QMin,最小无功(MVar),DOUBLE,4
11,Rerr,故障率(次/年),DOUBLE,8
12,Rrep,修复率(次/年),DOUBLE,8
13,Trep,修复时间(小时/次),DOUBLE,8
14,GoodProb,完好概率,DOUBLE,8
15,FailProb,故障概率,DOUBLE,8
16,IRt,实际值,DOUBLE,8
17,IMax,下限值,DOUBLE,8
18,IMin,上限值,DOUBLE,8
19,RerrMax,故障率上限值,DOUBLE,8
20,RerrMin,故障率下限值,DOUBLE,8
21,MSModel,多状态模型,INTEGER,1
22,MStateNum,多状态状态数,INTEGER,1
23,MSPout,多状态状态,DOUBLE,8
24,ReferenceP,给定有功(MW),DOUBLE,4
25,ReferenceQ,给定无功(MVar),DOUBLE,4
26,FaultFreq,故障次数(次),INTEGER,4
27,EQGen,等值电源标记,INTEGER,1
28,Radial,环辐网编号,INTEGER,2
29,BusPtr,母线索引,INTEGER,4
30,RParamType,可靠性参数类型,INTEGER,1
31,Outage,停运,INTEGER,1
