序号,名称,描述,类型,长度
0,Name,名称,STRING,32
1,BusName,母线,STRING,32
2,BuskV,电压(kV),DOUBLE,4
3,Zone,分区,STRING,8
4,P,有功(MW),DOUBLE,4
5,Q,无功(MVar),DOUBLE,4
6,PMax,最大有功(MW),DOUBLE,4
7,Rerr,故障率(次/年),DOUBLE,8
8,Rrep,修复率(次/年),DOUBLE,8
9,Trep,修复时间(小时/次),DOUBLE,8
10,GoodProb,完好概率,DOUBLE,8
11,FailProb,故障概率,DOUBLE,8
12,IRt,实际值,DOUBLE,8
13,IMax,下限值,DOUBLE,8
14,IMin,上限值,DOUBLE,8
15,RerrMax,故障率上限值,DOUBLE,8
16,RerrMin,故障率下限值,DOUBLE,8
17,FaultFreq,故障次数(次),INTEGER,4
18,MSModel,多状态模型,INTEGER,1
19,MStateNum,多状态状态数,INTEGER,1
20,MSPout,多状态功率(MW),DOUBLE,8
21,ReferenceP,给定有功(MW),DOUBLE,4
22,ReferenceQ,给定无功(MVar),DOUBLE,4
23,Radial,环辐网编号,INTEGER,2
24,BusPtr,母线索引,INTEGER,4
25,AuxLoad,厂用电标记,INTEGER,1
26,EQLoad,等值负荷标记,INTEGER,1
27,RParamType,可靠性参数类型,INTEGER,1
28,Outage,停运,INTEGER,1
