序号,名称,描述,类型,长度
0,MvaBase,功率基准,DOUBLE,8
1,GenP,系统总发电(MW),DOUBLE,8
2,LoadP,系统总负荷(MW),DOUBLE,8
3,DCP,系统直流容量(MW),DOUBLE,8
4,AvailGenP,系统总装机(MW),DOUBLE,8
5,MaxLoadP,系统最大负荷(MW),DOUBLE,8
6,SampleMethod,抽样方法,INTEGER,1
7,SampleObject,抽样对象,INTEGER,1
8,MaxBranFlt,最大支路故障重数,INTEGER,1
9,MaxGenFlt,最大发电机故障重数,INTEGER,1
10,MCSSimulateTime,蒙特卡罗法模拟时间(小时),DOUBLE,8
11,MCSMinProb,蒙特卡罗法最小概率值,DOUBLE,8
12,FSTCumulateProb,快速排序法截止累计概率值,DOUBLE,8
13,FSTMaxState,快速排序法截止状态数,INTEGER,4
14,FSTMinProb,快速排序法最小概率值,DOUBLE,8
15,STSMaxState,状态抽样法截止状态数,INTEGER,4
16,ANAMinProb,解析法最小概率值,DOUBLE,8
17,BpaDatFile,Bpa潮流文件,STRING,256
18,BpaSwiFile,Bpa稳定文件,STRING,256
19,SecurityExecDir,安全评估运行目录,STRING,256
20,SecurityDestDir,安全评估结果目录,STRING,256
21,SecurityMaxAngle,安全评估最大功角差,DOUBLE,8
22,SecurityMaxVolt,安全评估最高电压,DOUBLE,8
23,SecurityMaxVDur,安全评估最高电压持续时间,DOUBLE,8
24,SecurityMinVolt,安全评估最低电压,DOUBLE,8
25,SecurityMinVDur,安全评估最低电压持续时间,DOUBLE,8
26,SecurityMaxFreq,安全评估最高频率,DOUBLE,8
27,SecurityMaxFDur,安全评估最高频率持续时间,DOUBLE,8
28,SecurityMinFreq,安全评估最低频率,DOUBLE,8
29,SecurityMinFDur,安全评估最低频率持续时间,DOUBLE,8
30,CopStep,停运概率表容量步长,DOUBLE,8
31,MaxFltDev,最大故障设备重数,INTEGER,2
32,CutLoadStateNum,切负荷状态数,INTEGER,4
33,PLC,切负荷概率,DOUBLE,8
34,EFLC,切负荷频率(次/年),DOUBLE,8
35,EDLC,切负荷持续时间(小时/年),DOUBLE,8
36,ADLC,每次切负荷持续时间(小时/次),DOUBLE,8
37,ELC,负荷切除期望值(MW/年),DOUBLE,8
38,EENS,电量不足期望值(MWh/年),DOUBLE,8
39,BPII,系统停电指标(MW/MW.yr),DOUBLE,8
40,BPECI,系统削减电量指标(MWh/MW.年),DOUBLE,8
41,SI,严重程度指标(系统分/年),DOUBLE,8
42,LOLP,电力不足时间概率(天/年),DOUBLE,8
43,LOLF,电力不足频率概率(次/年),DOUBLE,8
44,LOLE,电力不足期望值(小时/年),DOUBLE,8
45,PLOS,失稳概率,DOUBLE,8
46,FLOS,失稳频率(次/年),DOUBLE,8
47,MTTIS,平均稳定运行时间(小时),DOUBLE,8
48,MIslandEENS,孤岛电量不足期望值(MWh/年),DOUBLE,8
49,LossGenEENS,失电电量不足期望值(MWh/年),DOUBLE,8
50,ERlimitEENS,消限电量不足期望值(MWh/年),DOUBLE,8
51,NetworkType,网络类型,INTEGER,1
52,FltGrade0Prob,非事故状态概率,DOUBLE,8
53,FltGrade1Prob,一般事故概率,DOUBLE,8
54,FltGrade2Prob,较大事故概率,DOUBLE,8
55,FltGrade3Prob,重大事故概率,DOUBLE,8
56,FltGrade4Prob,特别重大事故概率,DOUBLE,8
57,LoadCurvePace,负荷曲线时间间隔,INTEGER,2
58,MaxMSDevNum,多状态设备数,INTEGER,2
