序号,名称,描述,类型,长度
0,Name,名称,STRING,32
1,BusI,起节点名称,STRING,32
2,BusJ,终节点名称,STRING,32
3,kVI,I侧电压(千伏),DOUBLE,4
4,kVJ,J侧电压(千伏),DOUBLE,4
5,ParlId,并联回路号,INTEGER,1
6,R,电阻(标幺),DOUBLE,4
7,X,电抗(标幺),DOUBLE,4
8,Rated,额定容量(兆瓦),DOUBLE,4
9,Weights,越限指标权重,DOUBLE,4
10,Rerr,故障率(次/年),DOUBLE,8
11,Rrep,修复率(次/年),DOUBLE,8
12,Trep,修复时间(小时/次),DOUBLE,8
13,GoodProb,完好概率,DOUBLE,8
14,FailProb,故障概率,DOUBLE,8
15,IRt,实际值,DOUBLE,8
16,IMax,下限值,DOUBLE,8
17,IMin,上限值,DOUBLE,8
18,RerrMax,故障率上限值,DOUBLE,8
19,RerrMin,故障率下限值,DOUBLE,8
20,FaultFreq,故障次数(次),INTEGER,4
21,OLmtFreq,越限次数(次),INTEGER,4
22,OLmtValue,越限功率(兆瓦/次),DOUBLE,8
23,ELmtCutLoad,消限切负荷电量(兆瓦时/年),DOUBLE,8
24,RtPi,RT起点有功(兆瓦),DOUBLE,4
25,RtQi,RT起点无功(兆乏),DOUBLE,4
26,RtPz,RT终点有功(兆瓦),DOUBLE,4
27,RtQz,RT终点无功(兆乏),DOUBLE,4
28,LossP,损耗(兆瓦),DOUBLE,4
29,PfPi,PF起点有功(兆瓦),DOUBLE,4
30,PfQi,PF起点无功(兆乏),DOUBLE,4
31,PfPz,PF终点有功(兆瓦),DOUBLE,4
32,PfQz,PF终点无功(兆乏),DOUBLE,4
33,TrPi,TR起点有功(兆瓦),DOUBLE,4
34,TrQi,TR起点无功(兆乏),DOUBLE,4
35,TrPz,TR终点有功(兆瓦),DOUBLE,4
36,TrQz,TR终点无功(兆乏),DOUBLE,4
37,IniBusI,Ini起节点名称,STRING,32
38,IniBusJ,Ini终节点名称,STRING,32
39,InikVI,Ini起点侧电压(千伏),DOUBLE,4
40,InikVJ,Ini终点侧电压(千伏),DOUBLE,4
41,IniLoop,Ini并联回路号,INTEGER,1
42,BusIPtr,起节点索引,INTEGER,4
43,BusJPtr,终节点索引,INTEGER,4
44,RadIPtr,起节点辐网编号,INTEGER,2
45,RadJPtr,终节点辐网编号,INTEGER,2
46,SerialNo,变压器索引,INTEGER,4
47,ACIsland,交流电岛,INTEGER,2
48,GenTran,发电机升压变标记,INTEGER,1
49,RParamType,可靠性参数类型,INTEGER,1
50,Outage,停运,INTEGER,1
51,TrMIsland,N-1多岛,INTEGER,1
52,TrFactorNum,一阶相关开断分布因子个数,INTEGER,4
