序号,名称,描述,类型,长度
0,ResourceID,资源Id,STRING,64
1,ThermalStation,热力站,STRING,64
2,Temperature,温度,STRING,32
3,Name,名称,STRING,64
4,Description,描述,STRING,64
5,ConnectivityNode,节点,STRING,64
6,Type,负荷类型,INTEGER,1
7,HeatingLoad,热负荷(kW),DOUBLE,4
8,CoolingLoad,冷负荷(kW),DOUBLE,4
9,CSupplyTemperature,所需供水温度(℃),DOUBLE,4
10,CReturnTemperature,所需回水温度(℃),DOUBLE,4
11,CPressure,压力(Pa),DOUBLE,4
12,CPressureLoss,压损(kPa),DOUBLE,4
13,ActualTemperature,实际温度(℃),DOUBLE,4
14,Consumer,消费量(kW),DOUBLE,4
15,NodePtr,节点索引,INTEGER,4
16,FlowTopoBus,潮流拓扑节点,INTEGER,4
17,EnergyTopoBus,能流拓扑节点,INTEGER,4
18,FlowIsland,潮流岛,INTEGER,4
19,EnergyIsland,能流岛,INTEGER,4
