序号,名称,描述,类型,长度
0,ResourceID,资源Id,STRING,64
1,Name,名称,STRING,64
2,Factory,厂家,STRING,64
3,Model,型号,STRING,64
4,Type,机组类型,STRING,64
5,Power,额定功率(MW),DOUBLE,4
6,InSteamFlow,额定进汽量(t/h),DOUBLE,4
7,MainSteamPressure,主蒸汽压力(MPa),DOUBLE,4
8,MainSteamTemperature,主蒸汽温度(℃),DOUBLE,4
9,ExtractionSteamPressure,抽汽压力(MPa),DOUBLE,4
10,ExtractionSteamTemperature,抽汽温度(℃),DOUBLE,4
11,ExhaustSteamPressure,排汽压力(MPa),DOUBLE,4
12,ExhaustSteamTemperature,排汽温度(℃),DOUBLE,4
13,ExtractionSteamFlow,额定抽汽量(t/h),DOUBLE,4
14,ExhaustSteamFlow,额定排汽量(t/h),DOUBLE,4
15,Size,机组尺寸(mm),DOUBLE,4
16,Lifetime,产品设计寿命(年),DOUBLE,4
17,PowerSupply,电源(V/Hz),DOUBLE,4
