序号,名称,描述,类型,长度
0,ResourceID,资源Id,STRING,64
1,ThermalStation,热力站,STRING,64
2,TemperatureFEnding,一次温度,STRING,32
3,TemperatureFSource,二次温度,STRING,32
4,Name,名称,STRING,64
5,Description,描述,STRING,64
6,ConnectivityNodeFlowEnding,一次侧进水节点,STRING,64
7,ConnectivityNodeFlowSource,二次侧进水节点,STRING,64
8,SecondaryMaxSourceFlow,二次侧源最大流量(t/h),DOUBLE,4
9,PrimaryEndingFlow,一次侧终端流量(t/h),DOUBLE,4
10,SecondarySourceFlow,二次侧源流量(t/h),DOUBLE,4
11,EnergyTransfer,换热量(kW),DOUBLE,4
12,EPressure,压力(Pa),DOUBLE,4
13,NodeFlowEndingPtr,一次侧节点索引,INTEGER,4
14,NodeFlowSourcePtr,二次侧节点索引,INTEGER,4
15,EdgeFlowEndingPtr,一次侧边设备索引,INTEGER,4
16,EdgeFlowSourcePtr,二次侧边设备索引,INTEGER,4
17,FlowTopoBusI,潮流拓扑节点I,INTEGER,4
18,FlowTopoBusJ,潮流拓扑节点J,INTEGER,4
19,EnergyTopoBusI,能流拓扑节点I,INTEGER,4
20,EnergyTopoBusJ,能流拓扑节点J,INTEGER,4
21,FlowIslandI,潮流岛I,INTEGER,4
22,FlowIslandJ,潮流岛J,INTEGER,4
23,EnergyIsland,能流岛,INTEGER,4
24,Open,中间信息,INTEGER,1
25,Outage,停运,INTEGER,1
