序号,名称,描述,类型,长度
0,ResourceID,资源Id,STRING,64
1,Company,所属能源公司,STRING,64
2,ThermalStation,所属热力站,STRING,64
3,Temperature,温度,STRING,32
4,Name,名称,STRING,64
5,Description,描述,STRING,64
6,ConnectivityNode,节点,STRING,64
7,Type,热源类型,INTEGER,1
8,Model,热源模型,STRING,64
9,HeatingCapacity,制热容量(kW),DOUBLE,4
10,RefrigerationCapacity,制冷容量(kW),DOUBLE,4
11,SupplyTemperature,供水温度(℃),DOUBLE,4
12,ReturnTemperature,回水温度(℃),DOUBLE,4
13,MediumFlow,热媒流量(t/h),DOUBLE,4
14,HPressure,压力(Pa),DOUBLE,4
15,MediumDensity,热媒密度(kg/m3),DOUBLE,4
16,LoadRate,负荷率,DOUBLE,4
17,Supply,供给量(kW),DOUBLE,4
18,NodePtr,节点索引,INTEGER,4
19,FlowTopoBus,潮流拓扑节点,INTEGER,4
20,EnergyTopoBus,能流拓扑节点,INTEGER,4
21,FlowIsland,潮流岛,INTEGER,4
22,EnergyIsland,能流岛,INTEGER,4
