序号,名称,描述,类型,长度
0,ResourceID,资源Id,STRING,64
1,Name,名称,STRING,64
2,Factory,厂家,STRING,64
3,Model,型号,STRING,64
4,Type,机组类型,STRING,64
5,CoolingCapacity,制冷量(kW),DOUBLE,4
6,HeatingCapacity,制热量(kW),DOUBLE,4
7,CoolingCop,制冷效率,DOUBLE,4
8,HeatingCop,制热效率,DOUBLE,4
9,FlueGasTemperature,额定烟气温度(℃),DOUBLE,4
10,ExhaustTemperature,额定排烟温度(℃),DOUBLE,4
11,HotWaterTemperature,额定热水温度(℃),DOUBLE,4
12,SteamPressure,额定蒸汽压力(MPa),DOUBLE,4
13,CondensateTemperature,额定凝水温度(℃),DOUBLE,4
14,SanitaryHotWaterCapacity,卫生热水热量(kW),DOUBLE,4
15,ColdWaterFlow,冷水流量(m3/h),DOUBLE,4
16,ColdWaterSupplyTemperature,冷水额定出口温度(℃),DOUBLE,4
17,ColdWaterReturnTemperature,冷水额定入口温度(℃),DOUBLE,4
18,WarmWaterSupplyTemperature,温水额定出口温度(℃),DOUBLE,4
19,WarmWaterReturnTemperature,温水额定入口温度(℃),DOUBLE,4
20,WarmWaterFlow,温水流量(m3/h),DOUBLE,4
21,SanitaryHotWaterFlow,卫生热水流量(m3/h),DOUBLE,4
22,SanitaryHotWaterSupplyTemperature,卫生热水额定出口温度(℃),DOUBLE,4
23,SanitaryHotWaterReturnTemperature,卫生热水额定入口温度(℃),DOUBLE,4
24,CoolingNaturalGas,制冷天然气耗量(m3/h),DOUBLE,4
25,CoolingFlueGas,制冷烟气耗量(m3/h),DOUBLE,4
26,CoolingHotWater,制冷热水耗量(m3/h),DOUBLE,4
27,CoolingSteam,制冷蒸汽耗量(m3/h),DOUBLE,4
28,HeatingNaturalGas,制热天然气耗量(m3/h),DOUBLE,4
29,HeatingFlueGas,制热烟气耗量(m3/h),DOUBLE,4
30,HeatingHotWater,制热热水耗量(m3/h),DOUBLE,4
31,SanitaryHotWaterNaturalGas,卫生热水天然气耗量(m3/h),DOUBLE,4
32,SanitaryHotWaterFlueGas,卫生热水烟气耗量(m3/h),DOUBLE,4
33,Size,机组尺寸(mm),DOUBLE,4
34,Lifetime,产品设计寿命(年),DOUBLE,4
35,PowerSupply,电源(V/Hz),DOUBLE,4
