序号,名称,描述,类型,长度
0,ResourceID,资源Id,STRING,64
1,Name,名称,STRING,64
2,Factory,厂家,STRING,64
3,Model,型号,STRING,64
4,Type,机组类型,STRING,64
5,RefrigerationCapacity,制冷量(kW),DOUBLE,4
6,HeatingCapacity,制热量(kW),DOUBLE,4
7,RefrigerationCop,制冷效率,DOUBLE,4
8,HeatingCop,制热效率,DOUBLE,4
9,ColdWaterFlow,冷水流量(m3/h),DOUBLE,4
10,ColdWaterSupplyTemperature,冷水额定出口温度(℃),DOUBLE,4
11,ColdWaterReturnTemperature,冷水额定入口温度(℃),DOUBLE,4
12,WarmWaterSupplyTemperature,温水额定出口温度(℃),DOUBLE,4
13,WarmWaterReturnTemperature,温水额定入口温度(℃),DOUBLE,4
14,WarmWaterFlow,温水流量(m3/h),DOUBLE,4
15,BathWaterFlow,卫生热水流量(m3/h),DOUBLE,4
16,BathWaterSupplyTemperature,卫生热水额定出口温度(℃),DOUBLE,4
17,BathWaterReturnTemperature,卫生热水额定入口温度(℃),DOUBLE,4
18,BathWaterCapacity,卫生热水热量(kW),DOUBLE,4
19,RefrigerationPower,制冷输入功率(kW),DOUBLE,4
20,HeatingPower,制热输入功率(kW),DOUBLE,4
21,Size,机组尺寸(mm),DOUBLE,4
22,Lifetime,产品设计寿命(年),DOUBLE,4
23,PowerSupply,电源(V/Hz),DOUBLE,4
