序号,名称,描述,类型,长度
0,ResourceID,资源Id,STRING,64
1,Temperature,温度,STRING,32
2,Name,名称,STRING,64
3,Description,描述,STRING,64
4,ConnectivityNodeI,起节点,STRING,64
5,ConnectivityNodeJ,终节点,STRING,64
6,Pipe,所属管道,STRING,64
7,NominalDiameter,公称直径(m),DOUBLE,4
8,OuterDiameter,外径(m),DOUBLE,4
9,WallThickness,壁厚(m),DOUBLE,4
10,InnerDiameter,内径(m),DOUBLE,4
11,WallAbsoluteRoughness,管壁绝对粗糙度(m),DOUBLE,4
12,LocalResistanceRatio,局部阻力当量长度系数,DOUBLE,4
13,InsulatingLayerCoefficient,保温层导热系数(W/m℃),DOUBLE,4
14,InsulatingLayerOuterDiameter,保温层外表面直径(m),DOUBLE,4
15,InsulatingLayerThinkness,保温层厚度(m),DOUBLE,4
16,SoilCoefficient,土壤导热系数(W/m℃),DOUBLE,4
17,SoilDepth,土壤折算埋深(m),DOUBLE,4
18,SoilSurfaceTemperature,土壤表面温度(℃),DOUBLE,4
19,PerHeatLoss,单位长度热损失(kW/m),DOUBLE,4
20,PipeLength,管长(m),DOUBLE,4
21,FlowVelocity,流速(m/s),DOUBLE,4
22,MaxFlowVelocity,最大流速(m/s),DOUBLE,4
23,Impedance,阻力数(Pa/(t/h)**2),DOUBLE,4
24,FrictionR,比摩阻(pa/m),DOUBLE,4
25,PipeFlow,管道流量(t/h),DOUBLE,4
26,PressureDrop,压降(pa),DOUBLE,4
27,PipeLoad,热负荷(kW),DOUBLE,4
28,HeatLoss,热损失(W),DOUBLE,4
29,TemperatureLoss,温降(℃),DOUBLE,4
30,PipePtr,管道索引,INTEGER,4
31,NodeIPtr,起节点索引,INTEGER,4
32,NodeJPtr,终节点索引,INTEGER,4
33,EdgeIPtr,起边设备索引,INTEGER,4
34,EdgeJPtr,终边设备索引,INTEGER,4
35,FlowTopoBusI,潮流拓扑节点I,INTEGER,4
36,FlowTopoBusJ,潮流拓扑节点J,INTEGER,4
37,EnergyTopoBusI,能流拓扑节点I,INTEGER,4
38,EnergyTopoBusJ,能流拓扑节点J,INTEGER,4
39,FlowIsland,潮流岛,INTEGER,4
40,EnergyIsland,能流岛,INTEGER,4
41,Open,中间信息,INTEGER,1
42,Outage,停运,INTEGER,1
